model,GP1BB_all,HBB_all,HBG1_all,PKLR_all,mean_all,GP1BB_high,HBB_high,HBG1_high,PKLR_high,mean_high,GP1BB_low,HBB_low,HBG1_low,PKLR_low,mean_low
B1_baseline_mse_Feb2,0.3401859378866551,0.4045717110227704,0.444284394659404,0.35497899595068244,0.38600525987987794,0.7188810075823703,0.6707610517017378,0.6964905023623179,0.6611696782044095,0.6868255599627089,0.11511903445795064,0.279809467760572,0.25692126229851364,0.17455091889129484,0.20660017085208277
ABL1_ng_a01,0.2995660896180677,0.38023560208683277,0.4013642777576144,0.31003441969553835,0.34780009728951333,0.6613730718471383,0.599839848674378,0.7326379873284593,0.6531001338069585,0.6617377604142336,0.11093245954675234,0.2922353275137381,0.2342114937728428,0.14005698428788954,0.1943590662803057
ABL2_ng_a02,0.16334970105536706,0.43902705628326966,0.30020196612754035,0.320826677599432,0.30585135026640226,0.4393063657924183,0.6878325529151088,0.6216759015500423,0.6481676595188824,0.599245619944113,0.021261194915841043,0.31984045187448557,0.12013952447208115,0.14993363746677954,0.15279370218229682
ABL3_ng_a04,0.29019146864490436,0.39603887743812366,0.3931547707357902,0.33225758158575924,0.35291067460114434,0.6668301790567305,0.6174383895225242,0.722888244911121,0.6654879081975374,0.6681611804219783,0.09204111786060297,0.27591945217805874,0.20536828706503557,0.1661525735011694,0.18487035765121668
ABL4_ng_a05,0.3138478664533014,0.4199240364305817,0.4426844044359867,0.3252404372079055,0.37542418613194384,0.6841311996572803,0.6526583859855458,0.7092453655121355,0.6496338205244121,0.6739171929198434,0.11535708829305867,0.2896209421378841,0.29790283000480966,0.15328471246383468,0.21404139322489676
ABL5_ng_b005,0.2941757596193999,0.41546374913259193,0.3836639467140632,0.2904210281997071,0.3459311209164405,0.6072801892885746,0.6926675686950031,0.6546431207103389,0.6603136459541635,0.65372613116202,0.12553177154805711,0.2944409667104255,0.21254591831715286,0.10438142192660824,0.18422501962556095
ABL6_ng_b02,0.2751490892824032,0.41257512326878676,0.4034901213551123,0.37899505758984825,0.3675523478740376,0.5488897578406219,0.6955089997694435,0.6831886949483068,0.6725738386151384,0.6500403227933776,0.07243632073441951,0.2788792178355722,0.25451197690711613,0.19675545337112307,0.20064574221205772
ABL7_rs_k15,0.2714335098987257,0.405575906637374,0.3815891150344288,0.3619949970594198,0.35514838215748706,0.5877257261471703,0.6500690173451285,0.6532941963733672,0.7237773253528084,0.6537165663046186,0.10367523807002886,0.3008773035393411,0.2233022469566974,0.1603774230349986,0.19705805290026648
ABL8_rs_k25,0.2797349675004038,0.4279782242852249,0.38751933788120074,0.31112052201282503,0.35158826291991363,0.6139255872369235,0.6126492032760885,0.6858281619311286,0.6855830594950786,0.6494965029848048,0.11170006234935945,0.34684155226165764,0.20778048448799105,0.11094847503984559,0.19431764353471342
BEST1_ng_qs,0.2729209910906645,0.4026483428801496,0.4014130419332715,0.3205893674916383,0.34939293584893094,0.5861043968144972,0.6344182316689777,0.6720255010617043,0.6895679307753702,0.6455290150801374,0.11021925515215467,0.31144700027199496,0.23826295555894692,0.13719003214119818,0.19927981078107368
BEST2_ng_qsn,0.2967048938202952,0.4332999845559739,0.4379727108833363,0.35352888415845785,0.3803766183545158,0.6408971189964046,0.647410904404523,0.6710115032685365,0.6741346570329546,0.6583635459256048,0.07985530961425158,0.3321271716816047,0.2688429739521895,0.15552915274444662,0.2090886519981231
CA1_contrastive,0.19481472341946002,0.42433667506358413,0.3948834218049582,0.2489603462976374,0.3157487916464099,0.4742593529629952,0.7073101046350623,0.622680681181454,0.4307807388927148,0.5587577194180566,0.049243393946500916,0.32273877911426396,0.24298675369935752,0.10791572262781134,0.18072116234698343
CA2_contrastive,0.2102594018458507,0.3994277398332545,0.3751036379016411,0.21409326241371324,0.2997210104986149,0.4977850468116432,0.6432633316265094,0.5866161596711172,0.40423550805576003,0.5329750115412575,0.06897339998411083,0.3415001444107688,0.2062350675798283,0.08359658330011174,0.17507629881870493
CA3_contrastive,0.26795542443756126,0.4360006959972361,0.39091005241600557,0.3142131036077618,0.35226981911464117,0.5862850005882635,0.718721658466282,0.6906000970001883,0.5888462707927019,0.6461132567118589,0.07946810340921624,0.314227992180648,0.22168406131784074,0.168819670187045,0.1960499567736875
CA4_triplet,0.11622022348960342,0.37675315473562554,0.28440291740484375,0.2012332655800273,0.244652390302525,0.3361754540251315,0.5865034544378923,0.38696921235812237,0.31618456581561494,0.4064581716591903,0.029038409943138936,0.34016415999374633,0.22706920768010755,0.10059494966406725,0.174216681820265
CA8_contrastive_t05,0.28626063095302645,0.43978690358773614,0.40399730663865746,0.29263507929485777,0.3556699801185695,0.6174760932439166,0.7345328475095384,0.72309411719034,0.5510090280008799,0.6565280214861687,0.0777654975689132,0.289079199854444,0.2531854346170462,0.13631494092668547,0.18908626824177222
CA9_contrastive_t02,0.21682808220267435,0.4322514161221011,0.37627918342905803,0.28372202836421384,0.3272701775295118,0.5421786857927218,0.7461735490080517,0.7028479612534217,0.4925899713461726,0.6209475418500919,0.04918830516354124,0.287314351188134,0.20233192732002392,0.14165352049621807,0.1701220260419793
DH1_distributional,0.28250034252666667,0.3624401658328459,0.3833693313964037,0.34819206183808965,0.34412547539850147,0.5805036275121366,0.5516042647090815,0.7055919007361457,0.6984153121694389,0.6340287762817007,0.10923038717800171,0.2758046466641343,0.18273635114422151,0.1497275657392667,0.17937473768140605
DH2_distributional,0.1778466721719397,0.44861264425333947,0.42337286811843033,0.30848348733992603,0.3395789179709089,0.4890155022059315,0.705110287029044,0.7162511684467496,0.5754697379976924,0.6214616739198544,0.03398868076233972,0.3243323230158304,0.27172978526632563,0.1493548781722204,0.19485141680417903
DH3_distributional,0.28514788983446954,0.37613156301066075,0.40139401893607196,0.36810994623468146,0.35769585450397096,0.6412521695971038,0.6117784421403729,0.6697148151815159,0.6938542653360971,0.6541499230637724,0.13574860011995818,0.25881090078611185,0.24547748862254332,0.18503894438634322,0.20626898347873912
DH4_heteroscedastic,0.22562573883390807,0.3716445477896549,0.3612050507777466,0.38415866008065996,0.33565849937049236,0.6151857090220645,0.7029792137232138,0.6298032474983118,0.6902336193161265,0.6595504473899292,0.07076492297993439,0.23809555287066164,0.23550804761810032,0.21650545764803358,0.1902184952791825
DH5_heteroscedastic,0.2795864892086975,0.420021418389649,0.3665704350849121,0.3277957960593474,0.34849353468565153,0.6337673745638648,0.5889782492446628,0.5627534116052336,0.6861232240760631,0.6179055648724561,0.08757825175625823,0.3456173616714158,0.22808226770814571,0.14610082666577232,0.201844676950398
DH6_heteroscedastic,0.2471549996643811,0.3563295223524039,0.3180920539342019,0.3318091168010575,0.3133464231880111,0.5892444396992945,0.6297665340229183,0.7131415752143682,0.6528202771097628,0.646243206511586,0.07357049694525421,0.21084351871066195,0.13584055849817378,0.15361608423590598,0.143467664597499
DH7_distributional_dual,0.31184695385938194,0.46473001184498625,0.44746615656414457,0.3380103109186383,0.39051335829678774,0.6905344243635336,0.6948215567675627,0.6902590250152136,0.6433257271034287,0.6797351833124348,0.08901211345684798,0.35978734968334214,0.28925040824231296,0.1679654457365809,0.226503829279771
DH8_distributional_lv2,0.3216861720326274,0.3636768720423788,0.41576163444038844,0.35381770274582236,0.3637355953153043,0.6622453059818042,0.6032999784505109,0.7298110843899306,0.7106497827075098,0.6765015378824388,0.1477878909092053,0.2484932220336574,0.21709738591363364,0.15618860415374647,0.1923917757525607
DH9_distributional_lv05,0.32533387379647166,0.3540041930499933,0.37175540850445726,0.290735199835757,0.3354571687966698,0.6716921147391388,0.6019480072134787,0.6132074836167979,0.6087305006824302,0.6238945265629614,0.14730853533865526,0.24504194903426374,0.2228482539509566,0.12097638739302079,0.18404378142922406
HN1_hard_negative,0.2848513814390871,0.3975349710676802,0.41403333362765093,0.3512859974529892,0.36192642089685184,0.6696172236564394,0.6078141874961942,0.7136915921991471,0.661779806959693,0.6632257025778685,0.11233897298510946,0.27779513093126335,0.246192632909521,0.16136581938585118,0.19942313905293624
HN2_hard_negative,0.26277908135655925,0.3999621493915007,0.35012725442718867,0.3326380110464064,0.3363766240554138,0.55685479472683,0.7017418163198285,0.5992511867181058,0.6752643726708996,0.633278042608916,0.10170912866349827,0.28519255736153204,0.21836472964012726,0.1404319494950537,0.1864245912900528
HN3_hard_negative,0.32821463437376486,0.367531797941915,0.4107093014714663,0.26107479633701525,0.34188263253104034,0.5786955374588644,0.6171175827883131,0.6861047067838107,0.5651541378282618,0.6117679912148125,0.14559708014671754,0.24990004133230373,0.2544763570444229,0.11556802650005416,0.19138537625587457
HN5_hn_temp2,0.2848513814390871,0.3975349710676802,0.41403333362765093,0.3512859974529892,0.36192642089685184,0.6696172236564394,0.6078141874961942,0.7136915921991471,0.661779806959693,0.6632257025778685,0.11233897298510946,0.27779513093126335,0.246192632909521,0.16136581938585118,0.19942313905293624
HN6_hn_temp05,0.2848513814390871,0.3975349710676802,0.41403333362765093,0.3512859974529892,0.36192642089685184,0.6696172236564394,0.6078141874961942,0.7136915921991471,0.661779806959693,0.6632257025778685,0.11233897298510946,0.27779513093126335,0.246192632909521,0.16136581938585118,0.19942313905293624
NG1_noise_gated,0.20818682490057797,0.41470948565605364,0.30546149360700575,0.30400297956217726,0.30809019593145365,0.5389237132337097,0.6828371337681091,0.6304700278653343,0.591331027865231,0.610890475683096,0.04859511617790359,0.2902841156469651,0.17245214592896085,0.14267385353885323,0.16350130782317068
NG2_noise_gated,0.29677914668619015,0.3301112166984359,0.4041639708081523,0.25550064719255755,0.321638745346334,0.6679856327457114,0.5342119567614996,0.6893925178101429,0.5856052833067947,0.6192988476560372,0.1096364226503123,0.23844346296952193,0.24862325359142634,0.08884831416436698,0.17138786334390688
NG3_noise_gated,0.24851238742054466,0.37878738047538046,0.33450031177617084,0.3689013402563705,0.33267535498211664,0.6078507330284267,0.5724567024327964,0.6112225061186572,0.6492634219545941,0.6101983408836187,0.08225484176650513,0.28337422113154676,0.18278630136298546,0.20336696522377748,0.1879455823712037
NG4_adaptive_ng,0.24793749023157047,0.3640363216588754,0.4133180783971243,0.3234505853090696,0.33718561889915993,0.56165721325652,0.6372138332099593,0.7161989321967986,0.6864143985073367,0.6503710942926536,0.07991041408755103,0.24912519446392783,0.20091827655817984,0.1289683878616955,0.16473056824283855
NG5_adaptive_ng,0.2751582634169798,0.44243200010283373,0.33015814704225566,0.29835249823883153,0.33652522720022515,0.6643653480079452,0.6858618829763841,0.6624109583501219,0.6374898918589633,0.6625320202983536,0.08068479511694215,0.3277111950562854,0.158717987611483,0.10713161766568956,0.16856139886260002
NG6_adaptive_ng,0.2638397229032835,0.4218753237128432,0.3055041060671506,0.3861777155848778,0.3443492170670388,0.6124540769438519,0.6290103467208493,0.5002112568108744,0.6486862175166277,0.5975904744980509,0.10321927679608742,0.32887695891593605,0.18617952823142764,0.21073847286979594,0.20725355920331176
NG7_noise_gated_mse,0.25344173316345525,0.40687061020632087,0.3597191038957496,0.35724132829140676,0.3443181938892331,0.6135582227425583,0.6588224582357429,0.6703293592985872,0.6933058696757832,0.659003977488168,0.08317439701981762,0.26998341681748345,0.20560233428622832,0.17424989244673172,0.18325251014256527
NG8_ng_alpha05,0.3138478664533014,0.4199240364305817,0.4426844044359867,0.3252404372079055,0.37542418613194384,0.6841311996572803,0.6526583859855458,0.7092453655121355,0.6496338205244121,0.6739171929198434,0.11535708829305867,0.2896209421378841,0.29790283000480966,0.15328471246383468,0.21404139322489676
NG9_ng_alpha01,0.2998895624688158,0.35940338240134645,0.38721687000819416,0.2775815255447167,0.3310228351057683,0.6077234894605461,0.586297221537328,0.7397605536453171,0.6169883310195386,0.6376923989156824,0.12468493252957234,0.27220748753949137,0.2110438406111884,0.11568931829584637,0.18090639474402462
QC1_curriculum,0.25503697156321714,0.40458898366382817,0.4160316237700457,0.35076399211080406,0.3566053927769738,0.6142272776317373,0.6472963305708763,0.7043966124284419,0.6581324099319021,0.6560131576407393,0.05107346810715842,0.2894006071064383,0.21400335673503773,0.17258711570047977,0.18176613691227855
QC2_curriculum,0.3711723960481751,0.35625023199582373,0.3509464499894291,0.22064063770248243,0.3247524289339776,0.6441664577646935,0.40126048019777033,0.6705383042983915,0.3768229272344816,0.5231970423738342,0.17437310053775315,0.28482019236306344,0.1346934890381264,0.15928331613119748,0.18829252451753511
QC3_curriculum,0.28623444396669273,0.4001914585917512,0.3685763675508087,0.23346601725887942,0.32211707184203303,0.6090903316574579,0.7556602624340055,0.6390398455778955,0.59914643768839,0.6507342193394373,0.1151670939686899,0.2419003979407461,0.2063388138637138,0.07708762492891805,0.16012348267551696
QS1_quantile,0.3429001737440071,0.3265870767653651,0.3235748650263196,0.3345341349110426,0.3318990626116836,0.669372998098733,0.5864576249044335,0.626423254854419,0.6235814255622986,0.6264588258549709,0.15692100233873732,0.2592182013554493,0.12903254055135555,0.15944423707844224,0.1761539953309961
QS2_quantile,0.24003943844381562,0.39153391951670846,0.3704826422254059,0.31093646445146783,0.32824811615934946,0.4706123881222862,0.5685382773220763,0.6613324334246614,0.6399396668443428,0.5851056914283417,0.10415713547562293,0.3129694683569661,0.22585085271078845,0.12763476492355735,0.19265305536673372
QS3_quantile,0.2199321237446668,0.35166650487510176,0.34256895321490144,0.26945488717960253,0.2959056172535681,0.4891427457738122,0.5653531247466956,0.6956762314071981,0.7236744368611924,0.6184616346972246,0.08190857165523523,0.25915772667760034,0.18156181550790756,0.04898744386926399,0.1429038894275018
QS4_quantile_noise,0.402923490429234,0.3153543507008856,0.3435604874013588,0.27164572491193484,0.3333710133608533,0.5556788178817392,0.5594869444639803,0.6843839832560108,0.548837051942864,0.5870966993861486,0.21859643303372187,0.21415986812601004,0.1573873247717442,0.1477814863680582,0.18448127807488357
QS5_quantile_noise,0.2767798077101038,0.19510542505094322,0.38228858874862204,0.35016976122640797,0.3010858956840192,0.6041688788223312,0.477818715840552,0.627369652794709,0.634854917588675,0.5860530412615668,0.11689367464817335,0.11240026010388676,0.24017553157970284,0.18557173314542458,0.16376029986929688
QS6_quantile_noise,0.3379110817926676,0.39801741380067485,0.4136758479750533,0.3431106645181033,0.37317875202162476,0.6129466326904868,0.629560301122354,0.6920504211164767,0.6629126092523863,0.6493674910454259,0.1465426427830839,0.27975453458706767,0.2330125511708527,0.14796529888778237,0.2018187568571967
RS1_bilstm_rs,0.3542500691264257,0.3442476821876461,0.38949631720994543,0.29925283236048705,0.3468117252211261,0.5878878590804377,0.6258710236789276,0.7543068128963979,0.6757026776451841,0.6609420933252368,0.19771778429200218,0.24336070480306762,0.219018569304809,0.09311787489049334,0.18830373332259304
RS2_bilstm_rs,0.296458308083456,0.4190920460692831,0.3803856738571123,0.2975778873781623,0.3483784788470034,0.5656366532262074,0.6937674774980123,0.6534570505643911,0.6383973683550174,0.637814637410907,0.14003116746565714,0.3008102031497756,0.23398935036180465,0.11424932260198883,0.19727001089480656
RS3_bilstm_rs,0.2825403776084629,0.45305132405664306,0.37977256076453414,0.3536462325552301,0.36725262374621753,0.648152054681214,0.6376950433112757,0.5841211105558073,0.6966322546097319,0.6416501157895071,0.11058099593573072,0.3419192507937103,0.22949863798099732,0.16904453990504964,0.212760856153872
RS7_bilstm_rs_k2,0.2431464882428679,0.4198138488927989,0.3630216287080855,0.3626708257558925,0.34716319789991124,0.5036875065088178,0.6257564498452808,0.6287308680140222,0.7384409931779355,0.6241539543865141,0.11259761254600589,0.3240017602349189,0.2080960451619527,0.1573046677035157,0.20050002141159828
RS8_bilstm_rs_k05,0.2794479625205996,0.3359799687530293,0.40735081970841264,0.35044064322833995,0.3433048485525954,0.5754631403715731,0.579560280118897,0.7230326627786329,0.6952761842902315,0.6433330668898336,0.13564973422475896,0.2388208876023922,0.22369644620835416,0.15578575028767283,0.18848820458079454
