model,element,n_all,spearman_all,pearson_all,n_hc,spearman_hc,pearson_hc,n_lc,spearman_lc,pearson_lc
BEST3_ng_hn,HBB,432,0.3542559120129956,0.47213062515396104,64,0.6339141068009319,0.6920319293850655,368,0.24782101346314475,0.31606792347490253
BEST3_ng_hn,HBG1,633,0.3870768474989564,0.6177202441794991,125,0.6792771216431472,0.6859149381121661,508,0.23417697272339458,0.22228232613248938
BEST3_ng_hn,PKLR,1025,0.3202592317930646,0.6156935339075662,180,0.6583206958715596,0.7081072244311329,845,0.13350308976799646,0.18859647042377084
CA1_contrastive,GP1BB,869,0.19481472341946002,0.3193739002201861,143,0.47455283409536514,0.36750373297681466,726,0.04927526102658953,0.1390943118493049
CA1_contrastive,HBB,432,0.42433667506358413,0.47658179602185713,64,0.7073101046350623,0.6609827788492908,368,0.322825274769036,0.33203574206650355
CA1_contrastive,HBG1,633,0.3948834218049582,0.4980544335261155,125,0.622680681181454,0.6381001736284887,508,0.24296651722209472,0.23549986462339398
CA1_contrastive,PKLR,1025,0.2489603462976374,0.27794596225421153,180,0.4308702518804207,0.321511260485448,845,0.10791449926652538,0.16723610568976727
CA2_contrastive,GP1BB,869,0.2102594018458507,0.33948350409525413,143,0.4977850468116432,0.38553113933571964,726,0.06899911645100655,0.1707831584184268
CA2_contrastive,HBB,432,0.3994277398332545,0.4118890503101601,64,0.6432633316265094,0.605983064822427,368,0.34147665325104654,0.30439184041417855
CA2_contrastive,HBG1,633,0.3751036379016411,0.45170734150535463,125,0.5866223051122879,0.5975783670507429,508,0.20625338113391226,0.1682736982468857
CA2_contrastive,PKLR,1025,0.21409326241371324,0.22107890258986343,180,0.40439601410268117,0.2884247342624485,845,0.08360063133298484,0.10624955553175892
CA3_contrastive,GP1BB,869,0.26795542443756126,0.3705458032150767,143,0.5861946987013804,0.4959638135974813,726,0.07950406566798686,0.13322760680922116
CA3_contrastive,HBB,432,0.4360006959972361,0.5233001768931822,64,0.718721658466282,0.6962398039710491,368,0.31423256994510673,0.3501696198837615
CA3_contrastive,HBG1,633,0.39091005241600557,0.5262671930183446,125,0.6906000970001883,0.6625328955595631,508,0.22167371415978335,0.19190950732586426
CA3_contrastive,PKLR,1025,0.3142131036077618,0.4146553203345614,180,0.5888040865111395,0.557760119840687,845,0.16880773495498674,0.19207489015474824
CA4_triplet,GP1BB,869,0.11622022348960342,0.17555400353320516,143,0.33666595745615535,0.24487131325615055,726,0.029044168297837368,0.09478423094380127
CA4_triplet,HBB,432,0.37675315473562554,0.3835206210871867,64,0.5865034544378923,0.5458652734379579,368,0.34016415999374633,0.3386797836372386
CA4_triplet,HBG1,633,0.28440291740484375,0.23964658977476852,125,0.3865574677996845,0.46583278916663845,508,0.22709164178386035,0.1668405981058528
CA4_triplet,PKLR,1025,0.2012332655800273,0.19606259747467103,180,0.31622263455751287,0.2647937798813975,845,0.10057965267497923,0.11494442202524828
CA8_contrastive_t05,GP1BB,869,0.28626063095302645,0.43134754816685,143,0.6174760932439166,0.5144470358865799,726,0.07778854667804672,0.1901485016349323
CA8_contrastive_t05,HBB,432,0.43978690358773614,0.5632358805038682,64,0.7345328475095384,0.7390303446612925,368,0.289079199854444,0.36351969487696156
CA8_contrastive_t05,HBG1,633,0.40399730663865746,0.5548694424644465,125,0.72309411719034,0.6911240061866413,508,0.25326198527311705,0.17106190213708822
CA8_contrastive_t05,PKLR,1025,0.29263507929485777,0.4287303606149297,180,0.5510090280008799,0.5086462762216556,845,0.1363197150195088,0.19672969180007102
CA9_contrastive_t02,GP1BB,869,0.21682808220267435,0.3541471015809379,143,0.5427677003730726,0.4494293434674968,726,0.049157787452673504,0.14078932997448101
CA9_contrastive_t02,HBB,432,0.4322514161221011,0.524433488626411,64,0.7461735490080517,0.7394656458507883,368,0.287314351188134,0.3260843527517632
CA9_contrastive_t02,HBG1,633,0.37627918342905803,0.5283031028395501,125,0.7028479612534217,0.6798265942677498,508,0.20230143525177638,0.17698354065996252
CA9_contrastive_t02,PKLR,1025,0.28372202836421384,0.3134850363339781,180,0.4925436715249453,0.38553037885480884,845,0.14165647446615248,0.1905950377387092
DH1_distributional,GP1BB,869,0.28250034252666667,0.44536976141627355,143,0.5806739697078478,0.4661128814317494,726,0.10922734325208483,0.23677310088417142
DH1_distributional,HBB,432,0.3624401658328459,0.4643061417525886,64,0.5516042647090815,0.6454138992545944,368,0.2758191027624249,0.3205129499427619
