model,category,loss,model_type,sampler,test_spearman,test_pearson,noise_corr,low_noise_spearman,high_noise_spearman,noise_gap,cagi5_all,cagi5_hc,cagi5_lc
HN2_hard_negative,HN2,mse,dream_rnn_single,hard_negative,0.7003648129448199,0.7546514712086467,0.03070745544653668,0.753874788457856,0.6163162411906055,0.13755854726725059,0.3363766240554138,0.633278042608916,0.1864245912900528
HN3_hard_negative,HN3,mse,dream_rnn_single,hard_negative,0.6985447468233311,0.7513189345380643,0.022952043572151297,0.7531511590299391,0.6136062606774801,0.13954489835245898,0.3418826325310403,0.6117679912148125,0.1913853762558745
HN4_factorized_hn,HN4,mse,factorized,hard_negative,,,,,,,,,
HN5_hn_temp2,HN5,mse,dream_rnn_single,hard_negative,0.704234845110445,0.7563897896040835,0.01738042529964616,0.758198466740581,0.6219616265427799,0.13623684019780113,0.3619264208968518,0.6632257025778685,0.1994231390529362
HN6_hn_temp05,HN6,mse,dream_rnn_single,hard_negative,0.704234845110445,0.7563897896040835,0.01738042529964616,0.758198466740581,0.6219616265427799,0.13623684019780113,0.3619264208968518,0.6632257025778685,0.1994231390529362
NG1_noise_gated,NG1,noise_gated,dream_rnn_distributional,none,,,,,,,0.3080901959314536,0.610890475683096,0.1635013078231706
NG2_noise_gated,NG2,noise_gated,dream_rnn_distributional,none,0.7168164249123461,0.7733454428677693,0.042473040722990504,0.7701106595268882,0.6340646491351043,0.13604601039178388,0.321638745346334,0.6192988476560372,0.1713878633439068
NG3_noise_gated,NG3,noise_gated,dream_rnn_distributional,none,0.7184406455139941,0.7752025486232331,0.03789882751167602,0.7711761629781919,0.6347772028198162,0.13639896015837571,0.3326753549821166,0.6101983408836187,0.1879455823712037
NG4_adaptive_ng,NG4,adaptive_noise_gated,dream_rnn_distributional,none,0.7159412108242951,0.772278811411249,0.038043358227791334,0.7727767905457489,0.6317553814465188,0.1410214090992301,0.3371856188991599,0.6503710942926536,0.1647305682428385
NG5_adaptive_ng,NG5,adaptive_noise_gated,dream_rnn_distributional,none,,,,,,,0.3365252272002251,0.6625320202983536,0.1685613988626
NG6_adaptive_ng,NG6,adaptive_noise_gated,dream_rnn_distributional,none,0.7076050913659209,0.7623881816074881,0.04338965833691027,0.7634751110502883,0.612604085725835,0.1508710253244533,0.3443492170670388,0.5975904744980509,0.2072535592033117
NG7_noise_gated_mse,NG7,noise_gated_mse,dream_rnn_single,none,0.702681892660118,0.752630409855536,0.013756407707856974,0.7553678085287316,0.6186109607148017,0.13675684781392994,0.3443181938892331,0.659003977488168,0.1832525101425652
NG8_ng_alpha05,NG8,noise_gated,dream_rnn_distributional,none,0.7140509287615128,0.7645818390215875,0.023667325364856176,0.7638194052301982,0.6425038813625386,0.12131552386765965,0.3754241861319438,0.6739171929198434,0.2140413932248967
NG9_ng_alpha01,NG9,noise_gated,dream_rnn_distributional,none,,,,,,,0.3310228351057683,0.6376923989156824,0.1809063947440246
QC1_curriculum,QC1,mse,dream_rnn_single,quantile_stratified,0.6861099221071222,0.7419734947800395,0.011550883302572226,0.7405473179606978,0.6085319605220972,0.1320153574386006,0.3566053927769738,0.6560131576407393,0.1817661369122785
QC2_curriculum,QC2,mse,dream_rnn_single,quantile_stratified,,,,,,,0.3247524289339776,0.5231970423738342,0.1882925245175351
QC3_curriculum,QC3,mse,dream_rnn_single,quantile_stratified,0.6980171671408284,0.7550279342815585,0.021062091982994392,0.7532479535840981,0.6132346089141528,0.1400133446699453,0.322117071842033,0.6507342193394373,0.1601234826755169
QC4_factorized_curriculum,QC4,mse,factorized,quantile_stratified,,,,,,,,,
QC5_factorized_curriculum,QC5,mse,factorized,quantile_stratified,,,,,,,,,
QC6_factorized_curriculum,QC6,mse,factorized,quantile_stratified,,,,,,,,,
QS1_quantile,QS1,mse,dream_rnn_single,quantile_stratified,0.6960605465137253,0.7481646032509494,0.027629759335250338,0.7530926575007104,0.611152792124802,0.14193986537590841,0.3318990626116836,0.6264588258549709,0.1761539953309961
QS2_quantile,QS2,mse,dream_rnn_single,quantile_stratified,0.7074619952724551,0.7643413754304801,0.042329763023781344,0.7643579520521939,0.6136794273052119,0.15067852474698207,0.3282481161593494,0.5851056914283417,0.1926530553667337
QS3_quantile,QS3,mse,dream_rnn_single,quantile_stratified,0.7008683021101885,0.7588643252771508,0.034971662358336666,0.748815048593311,0.6126813796618715,0.13613366893143952,0.2959056172535681,0.6184616346972246,0.1429038894275018
QS4_quantile_noise,QS4,mse,dream_rnn_single,quantile_noise_weighted,,,,,,,0.3333710133608533,0.5870966993861486,0.1844812780748835
QS5_quantile_noise,QS5,mse,dream_rnn_single,quantile_noise_weighted,0.6950902979184913,0.7503752938005694,0.0317199129978821,0.7437423367725029,0.6161695564728985,0.1275727802996044,0.3010858956840192,0.5860530412615668,0.1637602998692968
QS6_quantile_noise,QS6,mse,dream_rnn_single,quantile_noise_weighted,0.6978237755211935,0.7538095056877265,0.04308714538416082,0.756451883138203,0.6125723698765724,0.14387951326163062,0.3731787520216247,0.6493674910454259,0.2018187568571967
RS1_bilstm_rs,RS1,rank_stability,dream_rnn_single,none,0.7117185670943008,0.7535864336479805,-0.07549383163829275,0.7659504197650568,0.6257945022013756,0.1401559175636813,0.3468117252211261,0.6609420933252368,0.188303733322593
RS2_bilstm_rs,RS2,rank_stability,dream_rnn_single,none,0.712133397135122,0.7511607497353183,-0.07520705656409916,0.7657221745624393,0.6261628157363713,0.13955935882606796,0.3483784788470034,0.637814637410907,0.1972700108948065
RS3_bilstm_rs,RS3,rank_stability,dream_rnn_single,none,0.7163170225879543,0.7601645125933304,-0.08770589128208531,0.769537228907591,0.6353781850730275,0.13415904383456356,0.3672526237462175,0.6416501157895071,0.212760856153872
RS4_factorized_rs,RS4,rank_stability,factorized,none,,,,,,,,,
RS5_factorized_rs,RS5,rank_stability,factorized,none,,,,,,,,,
RS6_factorized_rs,RS6,rank_stability,factorized,none,,,,,,,,,
RS7_bilstm_rs_k2,RS7,rank_stability,dream_rnn_single,none,0.7167938551586037,0.7566592347326573,-0.06913542768438498,0.7751156645411006,0.6284121901014741,0.1467034744396265,0.3471631978999112,0.6241539543865141,0.2005000214115982
RS8_bilstm_rs_k05,RS8,rank_stability,dream_rnn_single,none,,,,,,,0.3433048485525954,0.6433330668898336,0.1884882045807945
RS9_factorized_vib_rs,RS9,rank_stability,factorized_vib,none,,,,,,,,,
B1_baseline_mse,Baseline,mse,dream_rnn,none,0.7075,0.7587,0.0155,,,,0.386,0.6868,0.2066
