model,GP1BB_sp_all,GP1BB_pe_all,GP1BB_sp_hc,GP1BB_pe_hc,GP1BB_sp_lc,GP1BB_pe_lc,GP1BB_n_all,GP1BB_n_hc,GP1BB_n_lc,HBB_sp_all,HBB_pe_all,HBB_sp_hc,HBB_pe_hc,HBB_sp_lc,HBB_pe_lc,HBB_n_all,HBB_n_hc,HBB_n_lc,HBG1_sp_all,HBG1_pe_all,HBG1_sp_hc,HBG1_pe_hc,HBG1_sp_lc,HBG1_pe_lc,HBG1_n_all,HBG1_n_hc,HBG1_n_lc,PKLR_sp_all,PKLR_pe_all,PKLR_sp_hc,PKLR_pe_hc,PKLR_sp_lc,PKLR_pe_lc,PKLR_n_all,PKLR_n_hc,PKLR_n_lc,mean_sp_all,mean_pe_all,mean_sp_hc,mean_pe_hc,mean_sp_lc,mean_pe_lc
BEST3_ng_hn,0.2713809072586959,0.3534151200720635,0.4899205733903731,0.40585634010445354,0.11154614011613971,0.15178372689465425,869,143,726,0.3542559120129956,0.47213062515396104,0.6339141068009319,0.6920319293850655,0.24782101346314475,0.31606792347490253,432,64,368,0.3870768474989564,0.6177202441794991,0.6792771216431472,0.6859149381121661,0.23417697272339458,0.22228232613248938,633,125,508,0.3202592317930646,0.6156935339075662,0.6583206958715596,0.7081072244311329,0.13350308976799646,0.18859647042377084,1025,180,845,0.3332432246409281,0.5147398808282724,0.615358124426503,0.6229776080082046,0.1817618040176689,0.21968261173145426
CA1_contrastive,0.19481472341946002,0.3193739002201861,0.47455283409536514,0.36750373297681466,0.04927526102658953,0.1390943118493049,869,143,726,0.42433667506358413,0.47658179602185713,0.7073101046350623,0.6609827788492908,0.322825274769036,0.33203574206650355,432,64,368,0.3948834218049582,0.4980544335261155,0.622680681181454,0.6381001736284887,0.24296651722209472,0.23549986462339398,633,125,508,0.2489603462976374,0.27794596225421153,0.4308702518804207,0.321511260485448,0.10791449926652538,0.16723610568976727,1025,180,845,0.3157487916464099,0.3929890230055926,0.5588534679480756,0.4970244864850105,0.1807453880710614,0.21846650605724244
CA2_contrastive,0.2102594018458507,0.33948350409525413,0.4977850468116432,0.38553113933571964,0.06899911645100655,0.1707831584184268,869,143,726,0.3994277398332545,0.4118890503101601,0.6432633316265094,0.605983064822427,0.34147665325104654,0.30439184041417855,432,64,368,0.3751036379016411,0.45170734150535463,0.5866223051122879,0.5975783670507429,0.20625338113391226,0.1682736982468857,633,125,508,0.21409326241371324,0.22107890258986343,0.40439601410268117,0.2884247342624485,0.08360063133298484,0.10624955553175892,1025,180,845,0.2997210104986149,0.3560396996251581,0.5330166744132804,0.4693793263678345,0.17508244554223756,0.1874245631528125
CA3_contrastive,0.26795542443756126,0.3705458032150767,0.5861946987013804,0.4959638135974813,0.07950406566798686,0.13322760680922116,869,143,726,0.4360006959972361,0.5233001768931822,0.718721658466282,0.6962398039710491,0.31423256994510673,0.3501696198837615,432,64,368,0.39091005241600557,0.5262671930183446,0.6906000970001883,0.6625328955595631,0.22167371415978335,0.19190950732586426,633,125,508,0.3142131036077618,0.4146553203345614,0.5888040865111395,0.557760119840687,0.16880773495498674,0.19207489015474824,1025,180,845,0.35226981911464117,0.4586921233652912,0.6460801351697476,0.6031241582421951,0.19605452118196592,0.2168454060433988
CA4_triplet,0.11622022348960342,0.17555400353320516,0.33666595745615535,0.24487131325615055,0.029044168297837368,0.09478423094380127,869,143,726,0.37675315473562554,0.3835206210871867,0.5865034544378923,0.5458652734379579,0.34016415999374633,0.3386797836372386,432,64,368,0.28440291740484375,0.23964658977476852,0.3865574677996845,0.46583278916663845,0.22709164178386035,0.1668405981058528,633,125,508,0.2012332655800273,0.19606259747467103,0.31622263455751287,0.2647937798813975,0.10057965267497923,0.11494442202524828,1025,180,845,0.244652390302525,0.24869595296745786,0.40648737856281125,0.3803407889355361,0.1742199056876058,0.17881225867803524
CA8_contrastive_t05,0.28626063095302645,0.43134754816685,0.6174760932439166,0.5144470358865799,0.07778854667804672,0.1901485016349323,869,143,726,0.43978690358773614,0.5632358805038682,0.7345328475095384,0.7390303446612925,0.289079199854444,0.36351969487696156,432,64,368,0.40399730663865746,0.5548694424644465,0.72309411719034,0.6911240061866413,0.25326198527311705,0.17106190213708822,633,125,508,0.29263507929485777,0.4287303606149297,0.5510090280008799,0.5086462762216556,0.1363197150195088,0.19672969180007102,1025,180,845,0.3556699801185695,0.4945458079375236,0.6565280214861687,0.6133119157390423,0.18911236170627915,0.2303649476122633
CA9_contrastive_t02,0.21682808220267435,0.3541471015809379,0.5427677003730726,0.4494293434674968,0.049157787452673504,0.14078932997448101,869,143,726,0.4322514161221011,0.524433488626411,0.7461735490080517,0.7394656458507883,0.287314351188134,0.3260843527517632,432,64,368,0.37627918342905803,0.5283031028395501,0.7028479612534217,0.6798265942677498,0.20230143525177638,0.17698354065996252,633,125,508,0.28372202836421384,0.3134850363339781,0.4925436715249453,0.38553037885480884,0.14165647446615248,0.1905950377387092,1025,180,845,0.3272701775295118,0.4300921823452193,0.6210832205398729,0.563562990610211,0.17010751208968408,0.208613065281229
DH1_distributional,0.28250034252666667,0.44536976141627355,0.5806739697078478,0.4661128814317494,0.10922734325208483,0.23677310088417142,869,143,726,0.3624401658328459,0.4643061417525886,0.5516042647090815,0.6454138992545944,0.2758191027624249,0.3205129499427619,432,64,368,0.3833693313964037,0.5783087868046546,0.7056257006625847,0.6538260054730028,0.1828956790647518,0.18262856268907793,633,125,508,0.34819206183808965,0.6401636606186379,0.6985768471012763,0.7521806247310965,0.14969017862484418,0.2232138067348237,1025,180,845,0.34412547539850147,0.5320370876480387,0.6341201955451976,0.6293833527226107,0.17940807592602642,0.24078210506270872
DH2_distributional,0.1778466721719397,0.3517122919607386,0.48928435555096966,0.39583682296806344,0.03398099249584862,0.09878336871879582,869,143,726,0.44861264425333947,0.5326175718059829,0.705110287029044,0.7264857983578484,0.3244006280802535,0.3637193664699965,432,64,368,0.42337286811843033,0.6230454310348266,0.7162511684467496,0.7054837152175645,0.27185124991378734,0.25536354918804144,633,125,508,0.30848348733992603,0.38205945391104335,0.575314376375352,0.5100513750650857,0.149309942023521,0.185373479231244,1025,180,845,0.3395789179709089,0.4723586871781479,0.6214900468505288,0.5844644279021405,0.1948857031283526,0.22580994090201945
DH3_distributional,0.28514788983446954,0.4343994371776804,0.6409196944681254,0.5508426873882925,0.13573852585756124,0.22414124298020707,869,143,726,0.37613156301066075,0.48881100518784243,0.6117784421403729,0.6868786826336442,0.25881090078611185,0.31586045161739756,432,64,368,0.40139401893607196,0.6416696294714747,0.6698961056960517,0.6970819098272545,0.24553435220797398,0.21096240702826008,633,125,508,0.36810994623468146,0.5887411145531002,0.6938542653360971,0.6817453708945814,0.18505119789125637,0.2538403447321706,1025,180,845,0.35769585450397096,0.5384052965975245,0.6541121269101617,0.6541371626859431,0.20628374418572587,0.2512011115895088
DH4_heteroscedastic,0.22562573883390807,0.44169934980882797,0.6152780632245584,0.5366232803818283,0.07072323374714491,0.12828327619176083,869,143,726,0.3716445477896549,0.4682113303784905,0.7032771056906955,0.7887236813646556,0.2380608582347642,0.3015791725910605,432,64,368,0.3612050507777466,0.472207109188246,0.6293177576458254,0.5810146149388986,0.23539596866710663,0.1993280518456705,633,125,508,0.38415866008065996,0.5350332611749787,0.6905042160490767,0.7141039404971067,0.21646846837467967,0.24568765829035466,1025,180,845,0.33565849937049236,0.47928776263763584,0.659594285652539,0.6551163792956223,0.19016213225592385,0.21871953972971162
DH5_heteroscedastic,0.2795864892086975,0.38300102700148647,0.6333097081826166,0.5845119578646805,0.0876313007950468,0.14070178309433087,869,143,726,0.420021418389649,0.4794813258201118,0.5889782492446628,0.625012448309758,0.3455841126453475,0.3611529635096961,432,64,368,0.3665704350849121,0.3732792396129426,0.5619852314588945,0.5076133269071625,0.22815506408562933,0.1884875622959925,633,125,508,0.3277957960593474,0.47548798163498496,0.685675659137533,0.6696192522669073,0.1460958039222811,0.15248539779754822,1025,180,845,0.34849353468565153,0.42781239351738154,0.6174872120059267,0.5966892463371272,0.20186657036207617,0.21070692667439192
DH6_heteroscedastic,0.2471549996643811,0.36309890856808835,0.5894394096823375,0.47762638889343656,0.073562745917404,0.13826924205879934,869,143,726,0.3563295223524039,0.4890702520501786,0.6297665340229183,0.6817008344956174,0.21075557744606083,0.3099239398936456,432,64,368,0.3180920539342019,0.551718540693743,0.7131415752143682,0.7078227881977541,0.13588968460700393,0.12239207279567144,633,125,508,0.3318091168010575,0.4698765197302327,0.6521031443231985,0.6598836901550709,0.15362149487443907,0.17028207817914046,1025,180,845,0.3133464231880111,0.4684410552605607,0.6461126658107056,0.6317584254354698,0.14345737571122696,0.1852168332318142
DH7_distributional_dual,0.31184695385938194,0.5167725051192427,0.6904769595264262,0.5644439397836343,0.08903724938117194,0.22955540769186933,869,143,726,0.46473001184498625,0.5309701375569752,0.6948215567675627,0.7232058646932467,0.3598126478553507,0.39425609035046083,432,64,368,0.44746615656414457,0.5950406171856298,0.6901361161917994,0.605552251357089,0.28931455146549195,0.2260965892604633,633,125,508,0.3380103109186383,0.418587833567763,0.6435109263883377,0.581824335519997,0.16797326331357904,0.17637404866339867,1025,180,845,0.39051335829678774,0.5153427733574026,0.6797363897185316,0.6187565978384917,0.22653442800389845,0.25657053399154806
DH8_distributional_lv2,0.3216861720326274,0.4719710534496759,0.6624177004931263,0.5255910106383656,0.14779440240021308,0.22977620474869578,869,143,726,0.3636768720423788,0.47098877479084367,0.6032999784505109,0.6963339734880423,0.2484932220336574,0.31470120156232073,432,64,368,0.41576163444038844,0.6559218952851196,0.7297434845370528,0.7276273578706965,0.21707884344012365,0.23284644146929875,633,125,508,0.35381770274582236,0.6293752055726116,0.7106137717354442,0.7634244204217102,0.15618868372196018,0.2009935398013709,1025,180,845,0.3637355953153043,0.5570642322745627,0.6765187338040335,0.6782441906047036,0.19238878789898856,0.24457934689542155
DH9_distributional_lv05,0.32533387379647166,0.4765029760266523,0.6719835435558977,0.532280835237636,0.14731940874412122,0.22106586196324396,869,143,726,0.3540041930499933,0.45812372434987036,0.6019480072134787,0.6578047742992433,0.24500123102407856,0.3001819065900525,432,64,368,0.37175540850445726,0.5708213696710667,0.6135946464105528,0.6001739090155513,0.22291308393241374,0.2175545862996355,633,125,508,0.290735199835757,0.5808506318454923,0.6091008992522481,0.7193186366703482,0.12097896341394003,0.17980619454579802,1025,180,845,0.3354571687966698,0.5215746754732704,0.6241567741080444,0.6273945388056947,0.18405317177863836,0.2296521373496825
