epoch,train_loss,train_pearson,train_spearman,val_pearson,val_spearman,val_kendall,val_pairwise_accuracy,val_mse,val_mae,val_ndcg@10,val_precision@10,val_recall@10,val_ndcg@50,val_precision@50,val_recall@50,val_ndcg@100,val_precision@100,val_recall@100,val_loss
1,5941.150618213718,0.41820168,0.40991764461083446,0.479961633682251,0.4515022820825098,0.3147331745207518,0.6574155395565567,0.5429195165634155,0.5843270421028137,0.43854927521838316,1.0,0.0017692852087756545,0.5046614010685989,1.0,0.008846426043878274,0.5338192536146428,0.98,0.017338995046001414,5714.164708344832
2,5840.53911698336,0.5756641,0.5794362023377536,0.555525004863739,0.5011906840856142,0.351950701421232,0.6760301002229053,0.4868156611919403,0.5514647960662842,0.40469575888141557,1.0,0.0017692852087756545,0.48987292613007477,0.98,0.008669497523000707,0.5393941334847039,0.97,0.01716206652512385,5715.3392864724865
3,5778.810628255208,0.6414166,0.6507762335474921,0.49679651856422424,0.46085149660159,0.3228217035001051,0.6614610624559631,2.216660737991333,1.2859364748001099,0.5378703818753995,1.0,0.0017692852087756545,0.5451054803981809,1.0,0.008846426043878274,0.5692915335855662,1.0,0.017692852087756547,5773.869277954102
4,5734.218629998676,0.6777161,0.6909986910943618,0.6248406767845154,0.5695964954504221,0.4044190604602881,0.7022724381779218,2.9823856353759766,1.5451850891113281,0.494888755180617,1.0,0.0017692852087756545,0.5393149875814197,1.0,0.008846426043878274,0.5556699561043958,0.99,0.01751592356687898,5676.185835465141
5,5696.077388440149,0.7027146,0.7168188299028615,0.5993581414222717,0.5602144259638654,0.3992832587707521,0.6997037430152451,0.6099222302436829,0.5818024277687073,0.5745283725125254,1.0,0.0017692852087756545,0.5902526216505111,1.0,0.008846426043878274,0.6065159676517691,1.0,0.017692852087756547,5625.538211324941
6,5660.018143648482,0.730851,0.7471544587881215,0.6716119050979614,0.620269162243175,0.4457928622154215,0.7229657688074249,2.306924343109131,1.328357458114624,0.5968395065052071,1.0,0.0017692852087756545,0.6045563379160386,1.0,0.008846426043878274,0.6422166196143859,1.0,0.017692852087756547,5586.962041108504
7,5634.796267407089,0.73649365,0.7517416667514536,0.6718541383743286,0.6148020009270049,0.43967965610424464,0.7199082170700615,6.878912925720215,2.4445550441741943,0.5413450340824413,1.0,0.0017692852087756545,0.578237764054357,1.0,0.008846426043878274,0.6216763843261991,0.99,0.01751592356687898,5662.039309294328
8,5590.677572993909,0.7679517,0.7830986265630858,0.6704591512680054,0.61930741204102,0.4470449585196079,0.7235920261776312,1.9542932510375977,1.2380576133728027,0.5206306097806823,1.0,0.0017692852087756545,0.600535008562546,1.0,0.008846426043878274,0.6360949793199289,0.99,0.01751592356687898,5580.008820906929
9,5575.636582196769,0.7745299,0.7890638753230128,0.6910784244537354,0.6366106669453547,0.46083264198860446,0.7304880154647929,1.0003503561019897,0.7584832310676575,0.5544465107170555,1.0,0.0017692852087756545,0.6110171308410325,1.0,0.008846426043878274,0.6413822872191494,1.0,0.017692852087756547,5562.938200245733
10,5541.237798486052,0.78896356,0.8013590932564606,0.6460056304931641,0.6077604621964255,0.4386647717856882,0.7194006242018389,0.7944800853729248,0.6942840814590454,0.611205569568258,1.0,0.0017692852087756545,0.6446901984588363,1.0,0.008846426043878274,0.6560316201015105,0.99,0.01751592356687898,5594.4226505445395
