epoch,train_loss,train_pearson,train_spearman,train_mean_pred_var,train_mean_true_var,val_loss,val_pearson,val_spearman,residual_noise_corr,noise_performance_gap
1,7.129467495417191,0.31499535,0.2887796750642842,0.1077750728460355,0.07650780774610864,0.30430072675580566,0.4472119212150574,0.41681874377796924,-0.05127151682972908,0.11619853416310871
2,5.1050463746496515,0.48879716,0.4422588715685662,0.05177575120397207,0.07650138454585426,0.21531745273133981,0.5145615339279175,0.4561959481157082,-0.04592469334602356,0.13039090269567727
3,4.8171668537592485,0.57191545,0.5104222222851234,0.049981141305070816,0.07649735879089872,0.24056231781192447,0.5370305180549622,0.479056758646401,-0.06924271583557129,0.09171699041822173
4,4.61192701765373,0.6194359,0.5515235261598489,0.04872675566265812,0.07650331134176523,0.24737786404464557,0.5709238052368164,0.5139068194781328,-0.0551065132021904,0.11746466758143081
5,4.456360706501761,0.65528786,0.584487710844591,0.0478702993421568,0.07644768475981081,0.27258886850398517,0.6617224216461182,0.6066547089126327,0.002666812390089035,0.16122929566395428
6,4.3085250827552235,0.6839965,0.6135434923192071,0.04701857820237424,0.07649276763369135,0.21422575025454813,0.6597393155097961,0.6157613993982258,-0.014716845005750656,0.15486330078779964
7,4.207500156036205,0.70575655,0.6361926445657693,0.04652868002905684,0.07649636672715009,0.15824424702188242,0.7127760648727417,0.6485642709017685,-0.007535471580922604,0.1711112829186623
8,4.098042986487265,0.72670203,0.6587047010973657,0.04590575725345288,0.07646879183370514,0.13485996101213538,0.7189496159553528,0.6624535452959933,-0.016283653676509857,0.1616490727757126
9,4.032871315034769,0.7383306,0.67102255099055,0.045703382878485375,0.07648195966152148,0.12482574873644373,0.7433529496192932,0.6808970177623779,0.003242459846660495,0.17916304793185445
10,3.955703212716485,0.7489653,0.6828057185268757,0.045361256237420655,0.07650128078494368,0.13214440125486124,0.7305981516838074,0.6710349190593152,-0.005929000210016966,0.14214524231253245
11,3.881596485773722,0.7596612,0.6953558035751457,0.04500364211235343,0.07650558869380736,0.13493222613697467,0.7392545342445374,0.6785672940684209,-0.004203701391816139,0.16015093974069494
12,3.8425484808151333,0.76838964,0.7039492963166407,0.04518822738427227,0.07646381088906089,0.12759811301594196,0.7378884553909302,0.6799491524539163,9.943265467882156e-05,0.15007227811625024
13,3.7514022204835538,0.7756669,0.7128996254107108,0.04468010586954779,0.0764882687037274,0.1343241233540618,0.7486802339553833,0.6952811131040891,-0.002558646257966757,0.172474725808354
