epoch,train_loss,train_pearson,train_spearman,train_mean_pred_var,train_mean_true_var,val_loss,val_pearson,val_spearman,residual_noise_corr,noise_performance_gap
1,0.07009574137680695,0.427130358310634,0.39207353515915827,0.25479396470522475,0.07650780774610864,0.27221509425536444,0.4931760125707099,0.45883746680064813,-0.032154727782328946,0.10970516873292824
2,-0.053381898262837936,0.5539056991851574,0.49863692391915304,0.1907352485225699,0.07650138454585426,0.1802302378675212,0.5949891392752288,0.5400008560730276,-0.03371179664469794,0.13705043165555025
3,-0.12071985526189292,0.615598667642599,0.5550489099944542,0.16990171154003358,0.07649735879089872,0.17374308731244958,0.611918593400997,0.550759675712779,-0.0411663859754909,0.11123724359306514
4,-0.16257314434496023,0.6463702337011537,0.5817845809686728,0.16014196509021825,0.07650331134176523,0.15200273368669592,0.6774212979089114,0.612382317171914,-0.011898703400972552,0.14698016078829035
5,-0.204277101883107,0.67691562241356,0.6122961001142045,0.14961729598584148,0.07644768475981081,0.17577142689539038,0.6831801733746997,0.634343550854622,-0.00783180551317008,0.1542547436630346
6,-0.24755269735209687,0.7055237678278118,0.6426839091475542,0.1392551588978471,0.07649276763369135,0.19148301041644553,0.6751417219396457,0.6124357990126069,-0.01887704541035154,0.14179844608615344
7,-0.28391828156460475,0.7272244016667002,0.6650003199933948,0.13102658943267864,0.07649636672715009,0.13922571164110434,0.7067541970703205,0.6404950961528695,0.002450954030708593,0.1534537922242255
8,-0.31660615362353245,0.7447402804624023,0.6856589124521875,0.12392391710631591,0.07646879183370514,0.14068007793115533,0.7245357109506071,0.6660226235022636,-0.016531459380568013,0.13999019704855586
9,-0.329991897199787,0.7520160610580867,0.6942907469066236,0.12263022548398056,0.07648195966152148,0.2599775389484737,0.6200946819325464,0.5508746726115008,-0.07432732840512694,0.06460480634737487
10,-0.3605837059223046,0.7665283904157033,0.7104339684697563,0.1155134388955973,0.07650128078494368,0.12382274963285612,0.7508158885144491,0.6883017594088894,0.008074578256259743,0.16320833051437866
11,-0.38055213157740014,0.7756319626252656,0.7193534993324819,0.11183508540277427,0.07650558869380736,0.1309307962656021,0.7571140539988089,0.700364250989616,0.012865320451625582,0.14889187189191466
12,-0.40372701334414507,0.7859177301355785,0.7311876062560678,0.10726185963820603,0.07646381088906089,0.2692317826592404,0.6891924428592581,0.6646040328829929,-0.02019720392757704,0.15005397653633756
13,-0.42310881395797945,0.7939588807245551,0.740600646635766,0.10422485666928319,0.0764882687037274,0.12724110386941745,0.7568730682913101,0.7043813875880782,0.03095064783852759,0.16085782678378624
14,-0.4436925075485208,0.8017533752285447,0.750137279473916,0.10048264812278208,0.07648999883798556,0.13275638125512912,0.7484608546404056,0.6940499080785726,0.009462766325133357,0.16007405465142144
15,-0.463035805413952,0.8095668076609024,0.7585812842867741,0.09740810239382383,0.07650203455639425,0.14553231907927472,0.7583698793926955,0.7013468982371814,0.026975170675895957,0.16224172565523987
16,-0.48695986924198387,0.8182807557843513,0.7683918931195672,0.09329628510832114,0.07649198843766067,0.18666986019715018,0.7103052208158267,0.6503784560568004,0.02165550548186295,0.15856347941755333
17,-0.516023521874584,0.8287037645735689,0.7802666982153761,0.0884241223082704,0.0765019049499668,0.11515500007764153,0.7690950148173299,0.7148188224406735,0.023428914175364697,0.1664425340967819
18,-0.5391768196881828,0.8368590091711117,0.7893259850172771,0.08421014232487328,0.07654431150794702,0.11552143420862115,0.7725096642113168,0.7134650742514863,0.018166912447211525,0.15432331755112771
19,-0.558693854990652,0.8437588816092727,0.7964153364662798,0.08124923264071093,0.07652052214085045,0.16990341699641684,0.7401885530890036,0.6969952131664983,-0.013026020536262279,0.1647657813839699
20,0.9455632115530093,0.19688878581420227,0.17603580474102368,0.46302286019853955,0.07650052911817691,0.26502220397410187,0.16056954408697843,0.17632912067187798,-0.08049980463262674,0.0376482526389402
21,0.16209608493214947,0.1892482214274494,0.1726899200758307,0.26025860920801,0.07649412342889161,0.26341145712396374,0.19723987541428334,0.20520127733878218,-0.08012416656969959,0.06290436409311634
22,0.10171087744966739,0.3564559245474219,0.2818107669567875,0.2378873087592044,0.07647605071970298,0.2690978652757147,0.3430227496373893,0.30423454432063235,-0.08089728364925344,0.08960883844143808
23,0.022592086526486328,0.4783364220117717,0.3972519546950395,0.21129366065149252,0.07647645696576706,0.22566986472710318,0.5161914286621616,0.4470894956350468,-0.07221123342396268,0.13655111617089732
24,-0.03749169207488497,0.5477328087345108,0.47176885807357916,0.1923260240905029,0.07653141514224521,0.2054668146630992,0.5898555960516344,0.5211262475912796,-0.0489520174252037,0.14396742168221754
25,-0.08322205409765412,0.5897858735903435,0.5183839729958679,0.17924645063230546,0.07649211783361974,2.7491289014401645,0.6181394507448502,0.551326635789153,-0.03818568383759151,0.15476064676072337
26,-0.12041921161199357,0.6207260915425473,0.5529931172848398,0.1687676701168556,0.07652646555738934,4.809156086133874,0.5929357655952573,0.5321310867333312,-0.11614382616043542,0.14921222400554435
27,-0.14448803673777202,0.6380853326032613,0.5749764079947137,0.16279516987881418,0.0765291024736092,0.39725435687148053,0.16275495050788383,-0.1216515033111771,-0.07549268802958649,-0.03743671165067271
28,-0.16516668429482453,0.6527739385521916,0.5915989106357737,0.15780590154693624,0.07648816128066704,1.2150701595389324,0.6352531641545949,0.5643967874941123,-0.05569820983704183,0.15972184888521235
29,-0.17948446523840145,0.6630060437563484,0.6032033996767071,0.1545449150147411,0.0764777733191932,0.3590187456296838,0.40026164643621437,0.2771549405507602,-0.0646724272922206,0.09412897178678556
30,-0.19490058981092637,0.6735166567458615,0.6152744373157016,0.15064534763831877,0.07650539552592962,0.17034141589765964,0.6754507716530772,0.6249989688039383,-0.017186010519407734,0.16496270141088254
31,-0.21025716446045428,0.684691187576594,0.62542457821011,0.14647293663294303,0.0764772332994278,0.14556351757567862,0.684624390532284,0.6317259931536918,-0.013647768218941722,0.15796112837982434
32,-0.22426024441328427,0.6930239211954787,0.6320001144583219,0.14294093417919287,0.07644496092015067,0.38394097271172895,0.6462746849053959,0.6087603900478246,0.004942247585331641,0.16226774436803204
33,-0.23715106208445663,0.7018340456467022,0.641392275380097,0.13983989027092011,0.0764897123905225,0.9008641839027405,0.6263463029938781,0.629604593300346,-0.003405446968818859,0.151071334203564
34,-0.24326866082215715,0.7046394937375507,0.645530581105328,0.13864816729463425,0.07645950592675452,0.6279600793900697,0.6251105197228964,0.6102716526343697,-0.08134103342674105,0.16321424719140154
35,-0.25456888089745733,0.7114887741005617,0.6531392728898328,0.1365601006200758,0.07649156320734886,0.30114363716996234,0.5872559873421025,0.5478165784537785,-0.0461886211315308,0.13163426762771985
36,-0.2606146575535758,0.7133726923053763,0.6570449564007186,0.13562785286856235,0.07655350308297044,0.20516376456488733,0.6854841456226795,0.6286745674225739,-0.04798740801231258,0.16270393898109536
37,-0.2691252253486612,0.7182875339520366,0.6627708043714743,0.13388267542514423,0.07647872594116771,0.16807883524376413,0.6788898726283636,0.6341118626889437,-0.03403035482500151,0.12866517716873516
38,-0.2769316764032773,0.7224493207549522,0.6670360033463866,0.13279120737718322,0.07645975853090232,1.281015396118164,0.5967070751031825,0.6514439567588352,0.01924716200126597,0.1537882863493084
39,-0.2813166640067505,0.7250283156968581,0.6695032077822359,0.1314632330658072,0.07647240986931796,0.7480057996252308,0.6292819797969204,0.6403695093548212,0.01772239986363035,0.14345448112285264
40,-0.29293613523076484,0.730875384276313,0.6760597906973818,0.12885142774400066,0.07650011626340575,0.6409378673719324,0.6115835042477149,0.6216467423140172,0.02527764610909638,0.13857858894798103
41,-0.294748806768218,0.7314007947458877,0.678744686324761,0.12858947568525703,0.07650897769773074,0.14832962012809256,0.7051271093890584,0.6586266357930568,-0.02114229043905948,0.15296073836127022
42,-0.30649751382695756,0.7379093179099315,0.6844602483413943,0.12609184735407264,0.07649063142174381,0.24116731402666672,0.6976725366834258,0.6671299947038727,-0.014884160286075653,0.15634394167674914
43,-0.3118296434818688,0.7401128477572649,0.6868167716104546,0.12514840116945364,0.07650867963241319,0.13249590960533722,0.7287316257209461,0.6687703464987462,-0.014244259983115503,0.15448673562719029
44,-0.3192242373012554,0.7444602792435966,0.6919424854642531,0.12354081115648571,0.07646456971175253,0.9042116274004397,0.543607905900206,0.643153817832675,-0.015153443697834265,0.14153019457641658
45,-0.3216486085774535,0.7459162675615731,0.6927499112610106,0.12255954342541722,0.07644937103245891,2.5948018198427945,0.5499167915453952,0.5443286260824451,-0.029498251711695008,0.16290295971763102
46,-0.3311621095501097,0.7499923591388995,0.6976156572234011,0.12117242926763276,0.07648353472267841,0.8944167054217794,0.618759272202032,0.5527218830570123,0.038155890737771356,0.14175497648883045
47,-0.33562795009653446,0.7520589934512246,0.7004814892866887,0.12009108041302632,0.07649451174304983,0.20910663125307663,0.7305827149206058,0.6717896761531101,-0.04382948841699555,0.16343325975801282
48,-0.3407509949079341,0.7548386006804209,0.7025703749729979,0.11904534823813681,0.07650494583919223,0.290179299271625,0.7144695480321961,0.6750118301816228,0.0036238494280825075,0.1475614444816219
49,-0.3470956523202907,0.7580035279905848,0.7059628861457702,0.1181892311084742,0.07649217853270009,0.2953797630641771,0.6724289343431752,0.6470728372982348,-0.01440243971760256,0.1476587463068062
50,-0.35134292743300316,0.7599718591959309,0.7080531524465291,0.11692676516407627,0.07650573358023907,0.49489496842674585,0.6751198906817268,0.6705113021256014,0.003307397800930062,0.15020084911210507
51,-0.3577872425486139,0.7627775780214171,0.7118929780852588,0.11594045970399501,0.07650083673875885,0.26628852862378827,0.6556990048353616,0.627297534613582,-0.028793532015386893,0.1356023594814285
52,-0.3668030835477646,0.7671956122679633,0.7154867580428688,0.1137423820498973,0.07645121658757581,0.3077036395021107,0.5611038622276635,0.5245762247337374,-0.0649491238254639,0.07846697684525233
53,-0.37102920439957227,0.7688094124359355,0.7183684473735412,0.11300909106677536,0.07651323105319072,0.1556955731433371,0.7155421326399128,0.6575979065750753,-0.004220256858745823,0.1442655305388305
54,-0.3733702862666825,0.7700726660907389,0.7193512575702028,0.11270178904977896,0.07649912213706701,0.15160456429357114,0.7149287382421231,0.6657209097538571,-0.0035014430958377777,0.13960256020738948
55,-0.3816529786856161,0.7738358189424719,0.7219436367647987,0.11094262682448673,0.07648111362073381,0.17848353865353958,0.7391343902492437,0.6887556396828011,-0.014772230526059506,0.1503285478537837
56,-0.38590580797464835,0.7755536388890817,0.724582152402046,0.11034110445255614,0.07645700459426406,0.9004827012186465,0.6538612249041188,0.6056595867554001,-0.09574573205071213,0.16023299041089534
57,-0.397233319147832,0.7806899226682721,0.7299103806796896,0.1083659647548266,0.0764954677325184,0.12475473660489787,0.7436800628150976,0.6885780435717721,0.0007136683230968945,0.15187475825813668
58,-0.4035871161916162,0.7826016340200773,0.7302513768337089,0.10695392150158263,0.07648206544292849,0.1274706944823265,0.7398009982975263,0.6763561365041465,0.0017043062555937645,0.15177652796246432
59,-0.41239255936132313,0.7871093079047655,0.7348074296608795,0.10529486738187445,0.07649462383850819,0.43005345437837683,0.6979308646654059,0.6719798037418833,-0.06226576697838762,0.16643733472892042
60,-0.4150924504140003,0.78831328215273,0.7358717746540571,0.10480662014356441,0.07648817424551915,0.18917254520499188,0.7394377566702888,0.6820310847113032,-0.015319867788218311,0.15979895039761172
61,-0.42069678926198495,0.790878329213727,0.738501839130999,0.1035839978837024,0.0764775153270549,0.13352776156819385,0.7471182571554356,0.6934757509238129,-0.0020807304754290883,0.15870176575329376
62,-0.4291754311087441,0.7942815714369932,0.7414199471805609,0.10230238920887985,0.07644129262468909,0.12232328659814337,0.7460046098704337,0.6860293000403425,0.0017280591891322718,0.15574751136871978
63,-0.43312632734492673,0.795827402808837,0.7445216057303681,0.10138854860080837,0.07652754879603951,0.12203955067240674,0.7534732225813371,0.6952987709772371,0.004044641162176579,0.14674577965517344
64,-0.440060383182461,0.7986415306925903,0.7477268103107905,0.10007264393534364,0.07646289084759136,0.18066496175268423,0.7153341605613218,0.6644830081716334,-0.014071097207527375,0.1465509077923125
65,-0.4441983398407866,0.7998465816949719,0.7490051441768767,0.09997563792318948,0.07650188360847322,0.17983981059945148,0.7114872745432663,0.660341343008787,-0.022957307448601222,0.1339449526310501
66,-0.44956461437004436,0.8027864783088645,0.7509711794616348,0.09844446577931527,0.07649206050203344,0.15160329251185709,0.6926595062503986,0.6360438297604584,-0.034618219062861465,0.10429300286137011
67,-0.45413763863218704,0.8041256517099326,0.7535644754635504,0.09761398862310722,0.07650039610216174,0.14723003688065903,0.7494261787430712,0.6919625240832789,0.007933302968634393,0.15718880069090102
68,-0.45871575286159405,0.806540982233701,0.7550547054349991,0.09688445601591282,0.07649685922315565,0.11907029216704161,0.7559065309630321,0.7013418013613194,0.00650884533958143,0.15201512592447208
69,-0.4630775130064474,0.8078912207322964,0.75772927502265,0.09624467983757709,0.07648483238651255,0.11795085085474927,0.7589269963788813,0.7031938348252984,0.014767762522832979,0.15201292315709847
70,-0.46758807968285127,0.8099616145129649,0.7592422513326554,0.09514096993847755,0.07650283875606828,0.11745857253022816,0.7603234278285318,0.7036916698104874,0.015614029760453878,0.1557650059231711
71,-0.47188169673337776,0.8116430370044404,0.7610805494853226,0.09463836155873907,0.07649166532660608,0.11680856444265532,0.760545712130799,0.7045689580366584,0.012271886839260646,0.158449642435196
72,-0.4729250455643498,0.8120059468752626,0.7616581845305146,0.09399409962575989,0.07651458112365109,0.12602757694928543,0.7486111022279835,0.6909784731825469,0.002938461606366387,0.14169983268450603
73,-0.4770181370993792,0.8134940872551003,0.7631471431383022,0.09381145903956419,0.0764860394647566,0.11853493231794109,0.7576099919497058,0.7013801627030074,0.014901548545006136,0.15483287960271375
74,-0.4794910408682742,0.8142187820835988,0.763865534512888,0.09304933691934003,0.0764863348360789,0.11682305614585461,0.7604890478095526,0.7041501992513185,0.01275721667791234,0.15721499576292763
75,-0.48055645604591585,0.8149436820197653,0.7646705538793495,0.09307901287651331,0.07648140886577509,0.11775628574516463,0.7613046559608637,0.7055344538377273,0.01669469164876551,0.1556575249836296
76,-0.48268977043318884,0.815176025609359,0.7658527000541484,0.09312966958446017,0.07649931341072934,0.11827686202266942,0.7590076265038432,0.7027349696008995,0.012584101856432547,0.15209371067300181
77,-0.48243891620366586,0.8151301498357189,0.7651976471759305,0.09241888651066581,0.07650331159432729,0.12209928845581801,0.7558814780318656,0.6990689275590121,0.009141671803618929,0.14981739170049857
78,-0.48470762860303546,0.8163349745004984,0.7668038876570369,0.09244117991062208,0.07648376215480815,0.11705872967191365,0.7608884603845745,0.7046900692938736,0.014121936993952689,0.15474447865082874
79,-0.483131441692848,0.815599165681842,0.7659637167137103,0.0926582204588389,0.07647445743198449,0.11855829669081647,0.7595523845705126,0.7030364115356719,0.013023086602328215,0.1532982715368122
80,-0.4878651314536057,0.8173827418168067,0.7674392550110941,0.0924807202260373,0.07648697407063791,0.1190354237737863,0.7591098826329684,0.7025530386760833,0.01260670172982396,0.1527510904479351
