epoch,train_loss,train_pearson,train_spearman,train_alpha,train_mean_pred_var,val_loss,val_pearson,val_spearman,residual_noise_corr,noise_performance_gap
1,-0.26075035012669145,0.41253406851211993,0.37861700919811986,0.0,0.2431481284441921,0.2659011424883552,0.47184180974827133,0.4382752871604928,-0.06455185606063621,0.07302383931097878
2,-0.3675258759893266,0.5513317041014487,0.49477582060071557,0.0,0.1895581126044699,0.3558613502460977,0.532903197423795,0.4977901268342828,-0.056433824473171544,0.08835647563708354
3,-0.4291273163536848,0.6152640052635513,0.5508001080980034,0.0,0.16967911235356736,0.17634196385093356,0.6119518141789997,0.5602678408240744,-0.039036796763397,0.1440681715476927
4,-0.460001712970141,0.6436716635102961,0.5771475879733834,0.0,0.1613124413678875,0.1625230040239251,0.6657451755898236,0.6044627733836756,-0.012112829698135529,0.15603372705834162
5,-0.42195231614813294,0.6076758463122944,0.5519361513116109,0.0,0.17416467563917407,0.20011454043181046,0.5186697374146165,0.48232629911993563,-0.051742484989317425,0.06200946936186097
6,-0.49020902366287966,0.6677995694259923,0.6032330562730546,0.0,0.15337203367281768,0.21955614504606827,0.6580598309131457,0.5999478631454714,0.0025938349237028674,0.14387711804191516
7,-0.5462482965598672,0.7097052454416095,0.6465218274872109,0.0,0.1377497187862962,0.15952474656312363,0.7118880783808246,0.6576949121461031,0.00486399997959608,0.146725065013657
8,-0.5802790544464089,0.7309282681776718,0.670073605221887,0.0,0.1293664981668952,0.13594700687605402,0.7122368460270638,0.6506552164617443,0.004940068108204352,0.15942773809079835
9,-0.5993745897786092,0.743653812800894,0.6824632452896493,0.0,0.12480720039983254,0.13001674219318057,0.7314021432846689,0.682912426148182,-0.015018107563312122,0.16231599866332247
10,-0.617336737907539,0.7522284507568104,0.6925119160816186,0.0,0.12091831740854823,0.13267405201559482,0.7239129532122408,0.6621376517268266,-0.010054683044909146,0.1520104579831545
11,-0.6346173875749448,0.7629585836452372,0.7059320982126613,0.0071428571428571236,0.11685159490943628,0.16582983084346936,0.7307826188933872,0.6750819243795553,0.021360375387098663,0.15802867583965519
