epoch,train_loss,train_pearson,train_spearman,val_pearson,val_spearman,val_kendall,val_pairwise_accuracy,val_mse,val_mae,val_ndcg@10,val_precision@10,val_recall@10,val_ndcg@50,val_precision@50,val_recall@50,val_ndcg@100,val_precision@100,val_recall@100,val_loss
1,2991.5000358624648,0.35401782,0.3423088438442049,0.45623505115509033,0.4425872352963534,0.30860878636247085,0.6543523971826445,0.2997566759586334,0.41508254408836365,0.3475799332416561,0.9,0.0015923566878980893,0.43146494370177013,0.96,0.008492569002123142,0.46399436036758046,0.96,0.016985138004246284,2856.04542077106
2,2965.989194363524,0.48146707,0.4580337863953153,0.5035027265548706,0.456936111283029,0.3192092457925484,0.6596542692998154,1.5730136632919312,0.9983689785003662,0.3555983030670689,1.0,0.0017692852087756545,0.4385865575060083,0.98,0.008669497523000707,0.5045112699767931,0.99,0.01751592356687898,2932.0993675563645
3,2945.090180305438,0.5468534,0.5113310583571858,0.590595543384552,0.546294017061126,0.3873306078289624,0.6937255649551368,0.44434982538223267,0.5004883408546448,0.41836147820136055,1.0,0.0017692852087756545,0.4873723714008642,0.98,0.008669497523000707,0.5566260712991002,0.97,0.01716206652512385,2820.728105130403
4,2933.599473856263,0.5776091,0.537330207887063,0.6130734086036682,0.5714151161955761,0.40713762742999116,0.7036321493471726,0.3824998438358307,0.45883709192276,0.46208076647224144,1.0,0.0017692852087756545,0.5273631647826729,1.0,0.008846426043878274,0.5717336629102169,0.99,0.01751592356687898,2809.0538155928903
5,2915.135785636255,0.6227254,0.5785588925605111,0.6053457260131836,0.5654129492189193,0.40199323228006734,0.701059156112546,0.4424125850200653,0.48787572979927063,0.46331521466142156,1.0,0.0017692852087756545,0.5388227209105699,0.98,0.008669497523000707,0.5596915440005957,0.99,0.01751592356687898,2819.068523241126
6,2904.1404884467693,0.6462514,0.6031379395479755,0.5976678133010864,0.5606023320048227,0.4003094479017952,0.7002169972378366,0.4100780785083771,0.46545469760894775,0.5176864444806663,1.0,0.0017692852087756545,0.5766011541207874,1.0,0.008846426043878274,0.6321769060571165,1.0,0.017692852087756547,2807.972178417703
7,2889.7406105860478,0.6667568,0.621732516740815,0.6619606018066406,0.6083854708971995,0.43611005906910255,0.7181228631996813,0.6259808540344238,0.5722286701202393,0.5281117138675155,1.0,0.0017692852087756545,0.5676831185217615,1.0,0.008846426043878274,0.597241242705449,0.99,0.01751592356687898,2812.062432164731
8,2880.896827827066,0.6889348,0.6464640029625913,0.6864023804664612,0.6445562146962208,0.46658631752837937,0.7333657435721637,0.6916360259056091,0.594791054725647,0.5610219819636797,1.0,0.0017692852087756545,0.5947004266764759,1.0,0.008846426043878274,0.6076565069324338,0.98,0.017338995046001414,2785.8549259019933
9,2873.275272003001,0.6982041,0.6572510071931121,0.6919991970062256,0.64489495307359,0.465390747876405,0.7327677654724275,1.1556286811828613,0.7930082678794861,0.5395306561381014,1.0,0.0017692852087756545,0.5615472755721347,1.0,0.008846426043878274,0.5962383833964325,1.0,0.017692852087756547,2840.741062330163
10,2868.963441320732,0.70160264,0.659167870470142,0.7004202604293823,0.6529878105525527,0.4744816613400447,0.7373146462855918,0.6689731478691101,0.5822089910507202,0.5850880844046923,1.0,0.0017692852087756545,0.5810856091710878,1.0,0.008846426043878274,0.6127431440185286,0.99,0.01751592356687898,2777.635922141697
