epoch,train_loss,train_pearson,train_spearman,val_pearson,val_spearman,val_kendall,val_pairwise_accuracy,val_mse,val_mae,val_ndcg@10,val_precision@10,val_recall@10,val_ndcg@50,val_precision@50,val_recall@50,val_ndcg@100,val_precision@100,val_recall@100,val_loss
1,5982.618776483051,0.34148672,0.3304394267026307,0.45685529708862305,0.44240656985121635,0.30842455215000175,0.6542602400768627,0.4461863934993744,0.5140250325202942,0.3444610726011313,0.9,0.0015923566878980893,0.42660086200332975,0.96,0.008492569002123142,0.4601066730906498,0.96,0.016985138004246284,5712.159672612729
2,5932.056699935999,0.4748118,0.4517553312074795,0.525724470615387,0.4790788095275155,0.3354524757076848,0.6677784228246981,0.8072232007980347,0.6892907619476318,0.384969090498082,1.0,0.0017692852087756545,0.4613248116579728,0.98,0.008669497523000707,0.5101109880706002,0.98,0.017338995046001414,5769.7901976212215
3,5890.161335573358,0.5439501,0.5089353975665077,0.5924065113067627,0.5448655286125161,0.38566517606015327,0.6928925876107259,0.7996330261230469,0.6964296698570251,0.3514903153535443,1.0,0.0017692852087756545,0.46671318560272934,0.98,0.008669497523000707,0.5153211831472309,0.97,0.01716206652512385,5658.888722295346
4,5867.2092085154045,0.57060045,0.5284916498096827,0.6187996864318848,0.5692907041703296,0.4045418308164943,0.7023338448183009,1.4428000450134277,1.0165399312973022,0.4738419631777048,1.0,0.0017692852087756545,0.5367545972946873,1.0,0.008846426043878274,0.5693761051513276,0.99,0.01751592356687898,5628.722732543945
5,5828.385203560867,0.6231123,0.5783922844031227,0.6213020086288452,0.5712275513560889,0.4061007475196512,0.7031135480716345,2.172947406768799,1.275328278541565,0.4148536378144332,1.0,0.0017692852087756545,0.48668998726001195,0.98,0.008669497523000707,0.5509846822412022,0.99,0.01751592356687898,5663.376134457795
6,5803.606601176289,0.64809066,0.6041300020815136,0.6216651797294617,0.5847188568539765,0.41875570665194034,0.7094429894012885,1.8971492052078247,1.2774453163146973,0.5150033351614314,1.0,0.0017692852087756545,0.5889924790187722,1.0,0.008846426043878274,0.6108610139915549,0.98,0.017338995046001414,5608.078855099885
7,5781.44848012116,0.66215056,0.616678644880337,0.670913577079773,0.6202331851177525,0.4455705535241215,0.7228545846792915,2.736806631088257,1.4346346855163574,0.5257999007489783,1.0,0.0017692852087756545,0.5544600492853832,0.96,0.008492569002123142,0.5920888088681706,0.98,0.017338995046001414,5624.708437380584
8,5764.273143013992,0.68169475,0.6387167260486526,0.6883565187454224,0.645260503355946,0.46684292464081334,0.733494084629186,2.161132574081421,1.266052007675171,0.5299471338553932,1.0,0.0017692852087756545,0.5840900577564433,1.0,0.008846426043878274,0.6124376384440771,0.99,0.01751592356687898,5560.333713365638
9,5743.9573974609375,0.69798964,0.6573543045022411,0.6787253618240356,0.6384701882360312,0.4620085842040913,0.7310761598587794,0.8173349499702454,0.6717758178710938,0.5436038425534427,1.0,0.0017692852087756545,0.5766357624636177,1.0,0.008846426043878274,0.5963715608007459,1.0,0.017692852087756547,5561.297627988069
10,5738.996477202507,0.70096034,0.6615258232985979,0.7008955478668213,0.6579401651152254,0.47784226091506793,0.7389954713604556,1.0294848680496216,0.7964617609977722,0.5639733571648322,1.0,0.0017692852087756545,0.5777101411376191,1.0,0.008846426043878274,0.6203963135662499,1.0,0.017692852087756547,5536.670350447945
