epoch,batch,global_step,loss,lr
1,0,1,13.406978607177734,0.00020000065662354165
1,50,2,10.195743560791016,0.0002017076753620733
1,100,3,8.698229789733887,0.00020669510193741664
1,150,4,10.953460693359375,0.0002149561144984321
2,0,5,8.866732597351074,0.000220774421292343
2,50,6,10.738208770751953,0.0002340530850332258
2,100,7,9.479290962219238,0.0002505679142413451
2,150,8,8.044859886169434,0.0002702963197708354
3,0,9,10.208125114440918,0.000282276540925247
3,50,10,7.986684799194336,0.00030689954119671094
3,100,11,8.120356559753418,0.00033465906683598657
3,150,12,7.772733211517334,0.00036551714809079667
4,0,13,10.905473709106445,0.0003834542022951798
4,50,14,9.863335609436035,0.0004190000345941176
4,100,15,10.222471237182617,0.000457529060103116
4,150,16,8.97224235534668,0.0004989885784420249
