epoch,train_loss,train_pearson,train_spearman,val_loss,val_pearson,val_spearman,residual_noise_corr,noise_performance_gap
1,6.658370788488011,0.37688211256393894,0.3449116217588826,0.2137334035790485,0.500905211463741,0.45658214977183853,-0.045933096088241886,0.12959908017746896
2,6.717938202249128,0.5339071095443509,0.4805360806509168,0.17958641764910324,0.5903717654641308,0.5313205838245907,-0.023227014807343092,0.16249487336231516
3,6.56928411311349,0.5879495812191323,0.5281222292002549,0.1679330746764722,0.6181875396326926,0.5579984978398947,-0.02546228336257977,0.16740671322185097
4,6.4425282208932995,0.62403126108033,0.5624366123802189,0.17743338644504547,0.6412355305601674,0.5781699255766571,-0.02904738711125034,0.16050500396763218
