epoch,train_loss,train_pearson,train_spearman,val_loss,val_pearson,val_spearman,residual_noise_corr,noise_performance_gap
1,0.25477375746783565,0.2876691638365722,0.27124021061478076,0.21290631592273712,0.4650671615303968,0.42853985325620597,-0.06129871197622235,0.12227166403478379
2,0.20130502655681243,0.5234631494508705,0.46559007209568126,0.18984107608380524,0.6045073190418094,0.5416207944015292,-0.04591740332811977,0.14552139713296197
3,0.17400165146353555,0.610265850072448,0.5443570768906806,0.16116441527138586,0.6464593037422365,0.5878003812257901,-0.025865703543343197,0.16017949912396306
4,0.1643229769279728,0.6383828366461771,0.5770760667443765,0.15827564441639444,0.6574394864732592,0.5967268202367042,-0.023886509627286258,0.15513511859068718
5,0.15900071765069906,0.6532237443898011,0.594205507283034,0.16344855984915857,0.6672399953180732,0.6162328288376243,-0.02023332432427028,0.17236190743426372
6,0.15368721865664767,0.6676431812841807,0.6074633504350505,0.1511121832806131,0.6821873136165412,0.6300242602989712,-0.019763168252869886,0.16267387354369112
7,0.15042230116445465,0.6766075554907198,0.6180568359529557,0.15198354617409085,0.6884021447854597,0.6338720193838362,-0.014757984170319715,0.1589032190613907
8,0.14730765649491112,0.6847061638955436,0.6250019411360539,0.14508974163428598,0.6898250658218154,0.6378693039398552,-0.0066795254120082335,0.1668165048424406
9,0.14452423424707295,0.6920900503350573,0.6322631284067186,0.15916199075139087,0.6936918560127822,0.6446370361726368,-0.011998843543388565,0.15910545513380836
10,0.14480582830932853,0.6910808741781106,0.6324851602458159,0.15395594679790994,0.694483296646296,0.6480756218201461,-0.012764414441324432,0.15882722828907425
11,0.14205436421147846,0.6985472082485095,0.6395589269175791,0.14996272973392322,0.6826836148496692,0.6269781407892328,-0.02116426059564709,0.14641086463125108
12,0.14131302133960238,0.7004185000403786,0.6416517380352802,0.15771848092908444,0.7018538868825673,0.6465728082144525,-0.014981425600419393,0.1693138488037167
13,0.1398247189525157,0.7038885419031946,0.6451639109492883,0.14112742050834323,0.7028827380317566,0.648874764603705,0.009617436193639776,0.18046232696236975
14,0.13692275371591925,0.7116241998082806,0.6513297803797227,0.15405399255130603,0.7062731167481138,0.6437466191218801,-0.00874686418248715,0.16003759347600055
15,0.13956152378334163,0.7048117077516045,0.6451221034554007,0.1466633185096409,0.7113345342116855,0.6570647283917229,0.001839309845570476,0.1632538602547179
16,0.13609294109256928,0.7135628985348772,0.654567138766499,0.13539596387873526,0.7131892712734952,0.6540960020169063,-0.009987659615808548,0.15837021798363804
17,0.13825810856401582,0.7081465671738593,0.6475865275704991,0.17390812479931375,0.6945066631128044,0.6427370124135634,-0.020453361574612278,0.1423637048757792
18,0.13399963480772945,0.7188397207594918,0.6587800900159331,0.15413228260434192,0.6895454783127909,0.635933722581687,0.012988258835944035,0.1622246791848715
19,0.13379864306268047,0.7198520837876021,0.6604798086321536,0.23415499472099802,0.6743954969653878,0.6379674192736873,-0.0236932920033361,0.1544000698415019
20,0.13138018396951384,0.7252791439188536,0.6658949071976075,0.13566464833591296,0.7190250914055758,0.6650247861584297,-0.007398205602851227,0.1648347950159832
21,0.1340963279796859,0.7183888483997635,0.6583098820987912,0.1411178367941276,0.7195514269977114,0.6671981231954349,0.004883561642909581,0.16531045827391044
22,0.12865155935287476,0.7320419707265412,0.6740473758711776,0.1820090827734574,0.699598733996474,0.6530680315380591,-0.015519742781487933,0.14748663977629184
23,0.13068844647394062,0.7272049193813238,0.6678105568915078,0.1340273346589959,0.7221477006866129,0.6691414131256911,-0.015671204226032957,0.16434270034576526
24,0.12511479067432005,0.7409737171392196,0.6819306180125204,0.14752205558445142,0.7053577141181827,0.6594434762673081,-0.028054677445101612,0.15237218667882646
25,0.12762634944444323,0.734519652766837,0.675334921605828,0.1579401046037674,0.7159231836230835,0.6672431653325861,-0.004185133686700754,0.16298015812812383
26,0.12521619812748527,0.7406579031078198,0.6796648012786994,0.15092458867508432,0.6983313355098034,0.6543091745651546,-0.0228257766933388,0.16592566879615323
27,0.12840406815547728,0.7327290006367854,0.6731117094494348,0.1427152526119481,0.7182679343087321,0.6645060442765783,-0.02653960553725611,0.15650810362217138
28,0.11990700110708927,0.7534670669375012,0.6936684451661079,0.13229837754498358,0.7242377249496296,0.6687853812665735,-0.0021135551967149378,0.1634319513428396
29,0.12123595371758197,0.7502037809871619,0.6904875488847846,0.12933886601873065,0.7312832935814186,0.6772604832723783,-0.00042333839472093356,0.1670886682004752
30,0.11887714127867909,0.7559090034781264,0.6969733630082542,0.16283042404962622,0.7248953569074312,0.6744055242891489,-0.0012955728395316452,0.1671581313272581
31,0.11823721263705,0.7574658634421152,0.6988701838668815,0.12857979438875033,0.7327303649810959,0.6749311099133152,0.00471661052285259,0.16255157823301547
32,0.11563229135705927,0.7636758487577433,0.7035098684076017,0.14348996657392252,0.7248637115979824,0.6725965496136744,-0.004444913936594358,0.1600383353009891
33,0.11476408711260995,0.7655881862358916,0.707414274930331,0.1373614992784417,0.731822155848917,0.6760495086188393,0.0010594355157443362,0.1559186357281478
34,0.11454300401406099,0.7663709466636796,0.7073818425045647,0.14174008110295172,0.7304595713367246,0.6721184373797642,-0.008588825158445857,0.1603516623871971
35,0.1138305245230427,0.7679139551137973,0.7075002481554549,0.14841266041216644,0.7267531508078748,0.668292200073956,0.005592274245315512,0.16058207146774528
36,0.11151001796042179,0.7732460820290686,0.7135584276692709,0.13759208697339761,0.7281307242475913,0.6753000204842663,-0.007690264238520686,0.15457477773465145
37,0.11106804741472848,0.7741986406024988,0.7129975474438884,0.1500376692932585,0.7239715216699686,0.6731139959301556,-0.012600301478106483,0.15329898997627844
38,0.10864859301660021,0.7798301556485295,0.7196730321891592,0.1292621159683103,0.7370417195650882,0.680201719889412,0.011840703386860748,0.16602677531533594
39,0.10866079071147294,0.7798586393874114,0.7192247934972559,0.14770628317542697,0.7312813165169219,0.6763164411788033,0.023344029319626952,0.1609415507627303
40,0.10796976619857852,0.781404651370443,0.7200944813998092,0.13221996083207752,0.7324993251448079,0.6753920313122579,0.004502227327246813,0.16613326340220036
41,0.10509253655281445,0.7880534780400327,0.7269836045026392,0.12901989953673404,0.7357893765822427,0.678857727020938,-0.008133914661784624,0.1592779064747657
42,0.10612389584214,0.785755121470522,0.7240472132133907,0.138922655388065,0.7218355667561007,0.6715085687757938,-0.013256203131767938,0.15047901744310843
43,0.10399850302160123,0.7906626797871941,0.7291363902388134,0.13412190228700638,0.7307018236778678,0.6745293027375895,0.009635830863973604,0.16187710195418847
44,0.1025824491250313,0.7939194847054313,0.7330667127760239,0.13035616991312607,0.7354031820320556,0.6769583403452913,0.0017725226583766096,0.16254437147169853
45,0.10226781843072277,0.7943398818343036,0.732117304375302,0.1369828840960627,0.7313350986855037,0.6772174045747531,-0.0013784601249576828,0.1587145396488876
46,0.10083561171751237,0.7978752753440905,0.7356607182398474,0.12702013649370358,0.7362836247011588,0.6793463123199931,-0.0019517154794123025,0.15645283626179918
47,0.1002561503042609,0.7990937346011041,0.7366845072732678,0.1324312197773353,0.7374969146587181,0.6807087622005897,0.003952299972439249,0.16306804685567766
48,0.0998718853050706,0.7998780629598237,0.7364476455160545,0.126039062505183,0.7383108183390943,0.6812686021261587,-0.0008609312670458768,0.15657132937138962
49,0.09868500453267394,0.8026087358160355,0.7396200377795806,0.13096321989660678,0.7376814465342703,0.6795249066814664,-0.0005289410396260663,0.1575679133864314
50,0.09607232340985099,0.8083525261214373,0.7454627182252688,0.1290337190679882,0.7349065856583966,0.6803772627504686,-0.0022586251847420123,0.15366174160977542
51,0.09539250945304073,0.8099497500919648,0.7468269652500166,0.13629349159157794,0.7377278623869334,0.6813953505715143,0.013630328887542096,0.15405230298408057
