epoch,train_loss,train_pearson,train_spearman,train_alpha,train_mean_pred_var,val_loss,val_pearson,val_spearman,residual_noise_corr,noise_performance_gap
1,-0.25360626048582086,0.4202896775283722,0.3852626340283952,0.0,0.2563231987299892,0.237855385179105,0.49768322837995277,0.46148920002491256,-0.046621367297824505,0.10996430178192412
2,-0.3654155224393317,0.5504008282416492,0.4956140877724899,0.0,0.1910839638130813,0.19110311114269754,0.5922835189992917,0.5303788150325373,-0.04082532515211129,0.1534129949042724
3,-0.42272919618477256,0.609863695950344,0.5489234962690186,0.0,0.17149193685943798,0.19262713193893433,0.595378937584501,0.5300463426926265,-0.013678690622904019,0.13039013020449486
4,-0.4592938724547456,0.6418394235502561,0.5764916502319887,0.0,0.1618881522767288,0.16549407399219015,0.6611729331302811,0.5960251954750057,-0.0268539930590024,0.1298992301253784
5,-0.5000098428483737,0.6750575297942994,0.6101231858534613,0.0,0.15026830953393278,0.16393431308476822,0.6849709504165787,0.6298968118834293,0.0034805908391120624,0.15361367354547717
6,-0.5367938093209671,0.7029284921293986,0.6387168895857444,0.0,0.14011755265758535,0.2214827829081079,0.676904220068776,0.61002192314123,-0.008935321629485567,0.15197949100737873
7,-0.5738595532158673,0.7270177672345636,0.6646860670969078,0.0,0.13070387389026794,0.13667663251576218,0.7184648386969138,0.6621749299405258,0.01426292936745831,0.15856546059278798
8,-0.5984275590228496,0.7418892981050705,0.6820656750626314,0.0,0.12525139412300734,0.13131880565829898,0.7391524200903142,0.6830396855272406,-0.015609922210313936,0.1490266035886404
9,-0.6174099307275761,0.7531202758289534,0.6942059233942542,0.0,0.12169750573608161,0.2038430681695109,0.6749061959793515,0.6199649156349584,-0.041924463290694325,0.10491506161534359
10,-0.6414755811799044,0.7647963503372225,0.7073028042925665,0.0,0.11620349243367459,0.1352098577696344,0.7408343834992794,0.6733268035318862,0.006937502546932448,0.1686548996978382
11,-0.6527546421956207,0.773451417727995,0.7155795829074342,0.0071428571428571236,0.11306905969556443,0.1410997484041297,0.7465331811786736,0.6837589718602242,0.007367940614152224,0.14631975057871371
12,-0.6665101310627609,0.7816218352584402,0.7257112144382482,0.014285714285714247,0.10950560745714748,0.1599515482135441,0.7311235725287825,0.6806633085588432,-0.010464899012591638,0.15345886443488865
