epoch,train_loss,train_pearson,train_spearman,val_pearson,val_spearman,val_kendall,val_pairwise_accuracy,val_mse,val_mae,val_ndcg@10,val_precision@10,val_recall@10,val_ndcg@50,val_precision@50,val_recall@50,val_ndcg@100,val_precision@100,val_recall@100,val_loss
1,5923.57683119262,0.44664237,0.4357830765264424,0.49081236124038696,0.45269868271086283,0.3154755277861339,0.6577868316842377,0.7557992935180664,0.7168402671813965,0.4365859054161138,1.0,0.0017692852087756545,0.47871620498638323,1.0,0.008846426043878274,0.5170969202747424,0.99,0.01751592356687898,5744.506340690281
2,5816.317088326492,0.605809,0.6135017001633688,0.5423824787139893,0.48484816325862423,0.3407089300018138,0.6704074677892214,0.6471575498580933,0.6202957630157471,0.4571995120924793,1.0,0.0017692852087756545,0.5335149445784103,1.0,0.008846426043878274,0.5574984417790801,0.99,0.01751592356687898,5815.476549894914
3,5754.487032960364,0.6593649,0.6713261862950237,0.5970624685287476,0.5501628279887227,0.3899311771893059,0.6950262542460501,0.48729705810546875,0.5416043400764465,0.4010255630425561,1.0,0.0017692852087756545,0.5130039111289736,1.0,0.008846426043878274,0.5797120084109292,1.0,0.017692852087756547,5636.202144125234
4,5711.854614947475,0.6852188,0.6999878378345462,0.5158239603042603,0.48932422274585374,0.34537377809376296,0.6727406176085022,0.48896604776382446,0.5376110076904297,0.5614428628830065,1.0,0.0017692852087756545,0.5827911555272831,1.0,0.008846426043878274,0.6237778100843846,0.99,0.01751592356687898,5674.767159503439
5,5669.648985781912,0.71833014,0.7353892357574328,0.6452085971832275,0.5945540519406292,0.4250948158593488,0.71261352071366,1.8271381855010986,1.2100591659545898,0.5044992366829009,0.9,0.0015923566878980893,0.5555772797501658,0.98,0.008669497523000707,0.6130489844075642,0.99,0.01751592356687898,5609.726997375488
6,5629.360249492408,0.7465299,0.7653188914588767,0.6780946850776672,0.6211488470854026,0.44607400028902666,0.723106391192523,1.4913973808288574,0.914832353591919,0.48755393861037954,0.9,0.0015923566878980893,0.5697970159547449,0.98,0.008669497523000707,0.60570711172294,0.99,0.01751592356687898,5720.049928084663
7,5581.964606506002,0.77093226,0.7886761607092353,0.6736260652542114,0.6200005613327325,0.44463272281835553,0.7223855330229767,1.3566687107086182,0.9059931635856628,0.4813028982958085,1.0,0.0017692852087756545,0.5673795936446504,1.0,0.008846426043878274,0.6029978310544104,0.99,0.01751592356687898,5703.20037974482
8,5543.139575333245,0.78432095,0.8009198013378144,0.6799049377441406,0.622729925367203,0.4481408978117164,0.7241401639293285,1.8696967363357544,1.0361027717590332,0.5182243562962815,1.0,0.0017692852087756545,0.5816081260225132,0.98,0.008669497523000707,0.637522195775483,0.99,0.01751592356687898,5699.960244883661
9,5503.9473476948715,0.8012612,0.8164398062234156,0.6813980937004089,0.6304458725213167,0.4557965592583833,0.7279691881515294,1.2000471353530884,0.8274955153465271,0.5249097463291137,1.0,0.0017692852087756545,0.609789593432948,1.0,0.008846426043878274,0.634883194030684,0.99,0.01751592356687898,5616.452965777853
10,5465.6353752869,0.8189936,0.833726814160201,0.691460132598877,0.6446460783386634,0.4656875772541273,0.7329162336067794,1.7263399362564087,1.1100002527236938,0.5289245338793335,1.0,0.0017692852087756545,0.6206114455283442,1.0,0.008846426043878274,0.6560482416631562,0.99,0.01751592356687898,5599.498643958051
