epoch,batch,global_step,loss,lr,batch_range,batch_std,batch_mean_pairwise_diff,tier1_fraction,tier2_fraction,tier3_fraction
1,0,1,6077.02734375,0.00020000065662354165,4.270999908447266,0.6944616436958313,0.7891296148300171,0.33984375,0.330078125,0.330078125
1,50,2,5942.966796875,0.0002017076753620733,3.99399995803833,0.7250922322273254,0.8247854709625244,0.33984375,0.330078125,0.330078125
1,100,3,5916.44189453125,0.00020669510193741664,3.50600004196167,0.7160427570343018,0.8180951476097107,0.3388671875,0.3310546875,0.330078125
1,150,4,5933.94677734375,0.0002149561144984321,3.558000087738037,0.7158708572387695,0.8160715699195862,0.33984375,0.3291015625,0.3310546875
2,0,5,5877.6669921875,0.000220774421292343,3.5959999561309814,0.7080998420715332,0.8085867762565613,0.33984375,0.328125,0.33203125
2,50,6,5855.68603515625,0.0002340530850332258,3.3949999809265137,0.7301132082939148,0.8331079483032227,0.33984375,0.3291015625,0.3310546875
2,100,7,5850.9091796875,0.0002505679142413451,3.554999828338623,0.7090444564819336,0.8093261122703552,0.33984375,0.330078125,0.330078125
2,150,8,5780.525390625,0.0002702963197708354,3.572999954223633,0.7332928776741028,0.8366896510124207,0.3388671875,0.3310546875,0.330078125
3,0,9,5762.17578125,0.000282276540925247,3.7070000171661377,0.7357969284057617,0.839562714099884,0.33984375,0.3291015625,0.3310546875
3,50,10,5783.01220703125,0.00030689954119671094,3.319000005722046,0.7252721786499023,0.8275108337402344,0.33984375,0.330078125,0.330078125
3,100,11,5793.73486328125,0.00033465906683598657,3.6570000648498535,0.7163885831832886,0.8162959218025208,0.33984375,0.330078125,0.330078125
3,150,12,5774.33056640625,0.00036551714809079667,3.7960000038146973,0.7089447975158691,0.8086539506912231,0.33984375,0.3291015625,0.3310546875
4,0,13,5777.15185546875,0.0003834542022951798,3.7709999084472656,0.7283796072006226,0.8303251266479492,0.33984375,0.330078125,0.330078125
4,50,14,5788.361328125,0.0004190000345941176,3.8420000076293945,0.6999510526657104,0.7980284690856934,0.33984375,0.330078125,0.330078125
4,100,15,5745.9794921875,0.000457529060103116,4.015000343322754,0.718955397605896,0.8171993494033813,0.33984375,0.330078125,0.330078125
4,150,16,5722.90966796875,0.0004989885784420249,3.1440000534057617,0.7032910585403442,0.8001989126205444,0.33984375,0.330078125,0.330078125
5,0,17,5706.3076171875,0.0005225754133860892,4.133999824523926,0.7204816937446594,0.8190417289733887,0.3388671875,0.3310546875,0.330078125
5,50,18,5693.7431640625,0.0005684355926288149,3.4539999961853027,0.7161722183227539,0.8171042203903198,0.33984375,0.330078125,0.330078125
5,100,19,5678.04248046875,0.0006170745656551273,3.509999990463257,0.7197561264038086,0.8201164603233337,0.33984375,0.330078125,0.330078125
5,150,20,5663.650390625,0.0006684258035991953,3.3959999084472656,0.7237827181816101,0.8263787031173706,0.33984375,0.330078125,0.330078125
6,0,21,5726.119140625,0.0006972586521939005,3.760999917984009,0.7112509608268738,0.810912549495697,0.3388671875,0.3310546875,0.330078125
6,50,22,5667.333984375,0.000752648128961129,4.224999904632568,0.716503381729126,0.8183763027191162,0.33984375,0.328125,0.33203125
6,100,23,5620.5068359375,0.0008105644317924054,3.7300000190734863,0.7100567817687988,0.8076254725456238,0.33984375,0.3291015625,0.3310546875
6,150,24,5590.82080078125,0.0008709283421989194,3.61299991607666,0.7162420749664307,0.8162671327590942,0.33984375,0.330078125,0.330078125
7,0,25,5598.58251953125,0.0009045136343924405,3.7360000610351562,0.7405220866203308,0.8455829620361328,0.33984375,0.3291015625,0.3310546875
7,50,26,5621.6650390625,0.0009684842336598089,3.2119998931884766,0.7157321572303772,0.8143746852874756,0.33984375,0.330078125,0.330078125
7,100,27,5638.05126953125,0.0010346864362437555,3.63700008392334,0.7043737769126892,0.8030312061309814,0.33984375,0.330078125,0.330078125
7,150,28,5605.89697265625,0.0011030296901202667,3.4499998092651367,0.7134396433830261,0.8142433166503906,0.3388671875,0.3310546875,0.330078125
8,0,29,5599.51416015625,0.001140792501990181,3.628000020980835,0.7298287153244019,0.8315646648406982,0.33984375,0.330078125,0.330078125
8,50,30,5566.73876953125,0.001212249154295786,3.38100004196167,0.7079449892044067,0.8084762096405029,0.3388671875,0.3310546875,0.330078125
8,100,31,5590.095703125,0.0012856039858612843,4.199000358581543,0.736361563205719,0.8367598652839661,0.33984375,0.330078125,0.330078125
8,150,32,5610.359375,0.0013607566612263726,4.11400032043457,0.7232541441917419,0.8243002891540527,0.33984375,0.330078125,0.330078125
9,0,33,5613.12451171875,0.001402050556713805,4.174999713897705,0.7102861404418945,0.8072938323020935,0.3388671875,0.3310546875,0.330078125
9,50,34,5495.23046875,0.00147977004391234,3.688999891281128,0.7205431461334229,0.8238502740859985,0.33984375,0.3271484375,0.3330078125
9,100,35,5545.431640625,0.0015590217926659939,3.433000087738037,0.6843085885047913,0.7802215814590454,0.33984375,0.330078125,0.330078125
9,150,36,5518.455078125,0.0016396974016531186,4.025000095367432,0.7050387263298035,0.8025470972061157,0.33984375,0.3291015625,0.3310546875
10,0,37,5493.869140625,0.0016838154984648076,4.312999725341797,0.7359865307807922,0.8382638096809387,0.3388671875,0.3310546875,0.330078125
10,50,38,5526.994140625,0.0017664673931724315,3.508999824523926,0.7080891728401184,0.8059806823730469,0.33984375,0.3291015625,0.3310546875
10,100,39,5476.57275390625,0.001850259401980235,3.767000198364258,0.7255306243896484,0.8285300731658936,0.33984375,0.330078125,0.330078125
10,150,40,5505.1015625,0.0019350769133541995,3.5409998893737793,0.7211122512817383,0.8229178190231323,0.3388671875,0.3310546875,0.330078125
11,0,41,5443.38330078125,0.0019812639836028164,3.73799991607666,0.7383989095687866,0.8410955667495728,0.33984375,0.330078125,0.330078125
11,50,42,5452.2841796875,0.002067433423884521,3.7790000438690186,0.7253594398498535,0.8272256255149841,0.33984375,0.3291015625,0.3310546875
11,100,43,5489.0087890625,0.0021543313139685974,3.953000068664551,0.7214171886444092,0.8237776756286621,0.33984375,0.330078125,0.330078125
11,150,44,5368.0185546875,0.0022418387940660606,4.124000072479248,0.7282006740570068,0.8335286378860474,0.33984375,0.330078125,0.330078125
12,0,45,5463.64599609375,0.002289304192506079,4.163000106811523,0.7213191986083984,0.8227143883705139,0.33984375,0.330078125,0.330078125
12,50,46,5436.15869140625,0.002377516101941093,3.4059998989105225,0.7301129102706909,0.8344342112541199,0.3388671875,0.3310546875,0.330078125
12,100,47,5409.2158203125,0.0024660323270407395,3.501999855041504,0.7108489274978638,0.811368465423584,0.3388671875,0.3310546875,0.330078125
12,150,48,5368.5498046875,0.0025547317944414768,4.490000247955322,0.7513906955718994,0.8561229705810547,0.33984375,0.330078125,0.330078125
13,0,49,5436.8955078125,0.0026026629929908696,3.614000082015991,0.7064988017082214,0.8050737977027893,0.33984375,0.3291015625,0.3310546875
13,50,50,5416.72265625,0.002691407331509145,3.808000087738037,0.7084051966667175,0.8078639507293701,0.33984375,0.330078125,0.330078125
13,100,51,5388.4677734375,0.0027800266421800866,3.808000087738037,0.7182217836380005,0.8191401958465576,0.33984375,0.330078125,0.330078125
13,150,52,5389.70263671875,0.002868399710638695,3.5329999923706055,0.7216665148735046,0.8241631984710693,0.33984375,0.330078125,0.330078125
14,0,53,5353.189453125,0.002915976207498118,4.048999786376953,0.7127873301506042,0.8118106722831726,0.33984375,0.330078125,0.330078125
14,50,54,5396.8828125,0.00300373382073591,3.6679999828338623,0.7144312858581543,0.814163327217102,0.33984375,0.330078125,0.330078125
14,100,55,5362.4013671875,0.003090939202881636,3.327000141143799,0.7084301114082336,0.8088446259498596,0.33984375,0.3291015625,0.3310546875
14,150,56,5274.7177734375,0.0031774730735556417,3.361999988555908,0.7272800207138062,0.830329179763794,0.3388671875,0.330078125,0.3310546875
15,0,57,5371.4248046875,0.0032238804388243,3.490000009536743,0.7050424218177795,0.8047010898590088,0.33984375,0.330078125,0.330078125
15,50,58,5382.3818359375,0.0033091490635011787,3.434000015258789,0.7039484977722168,0.8037145137786865,0.3388671875,0.3291015625,0.33203125
15,100,59,5285.75390625,0.003393447707112163,3.952000141143799,0.7223243713378906,0.8223937749862671,0.3388671875,0.3310546875,0.330078125
15,150,60,5292.9140625,0.0034766610651431667,3.386000156402588,0.699860155582428,0.7969920635223389,0.337890625,0.33203125,0.330078125
16,0,61,5299.2451171875,0.003521104882493945,3.8559999465942383,0.7257415056228638,0.8283469676971436,0.337890625,0.33203125,0.330078125
16,50,62,5437.48193359375,0.003602424862642768,3.690000057220459,0.7233472466468811,0.8257536888122559,0.3388671875,0.3310546875,0.330078125
16,100,63,5309.10400390625,0.0036823737162022894,3.615999937057495,0.7240574955940247,0.8254536390304565,0.33984375,0.330078125,0.330078125
