epoch,train_loss,train_pearson,train_spearman,val_loss,val_pearson,val_spearman,residual_noise_corr,noise_performance_gap
1,0.6325285529012734,0.40606633718379465,0.38299917119811044,0.5085625816946444,0.4830239565559363,0.45592995147690163,-0.02180642449204623,0.10223285446217506
2,0.588588006752359,0.5324445799833428,0.4954958352496416,0.7178296317224917,0.5983449796249023,0.5538757951502656,-0.0414750720090547,0.16154422777061783
3,0.5634793470808341,0.5873634670214738,0.5448668097588424,1.6842420826787534,0.6333080248132406,0.5921444488097052,-0.06372902464219288,0.15908828321309382
4,0.5430904310301873,0.6265775920583916,0.5829859521707101,6.294279616812001,0.6605809968974556,0.6188605804279713,-0.08568193173247181,0.16639158856232295
5,0.5245473133978871,0.66770308286986,0.6284759054275182,6.527460284855055,0.6746383792345684,0.6368588766386064,-0.13465027121342946,0.1706668639764638
6,0.5095480037274334,0.6915144500000137,0.6556359464615763,13.116104499153469,0.7025485330676119,0.6608820831370312,-0.12269777487374516,0.17111800248318
7,0.49678262933499395,0.7079013946138917,0.6700176223040639,6.759751299153203,0.689632145571388,0.649397990192382,-0.14960841420031384,0.1708444397724892
8,0.4872226361501015,0.7243418289842639,0.6896219550115641,5.427814359250276,0.7046927049817425,0.6663941636250519,-0.059967878430006546,0.1390853219185758
9,0.4784880834447462,0.7340429263032326,0.7013206097991629,4.176207044850225,0.7229619428223861,0.6884102016152414,-0.1027537009000833,0.17187444284864506
10,0.46948498487472534,0.7456822991119347,0.713302993818749,7.441654765087625,0.741926353795134,0.701749230759931,-0.14049159203938807,0.1703564943611069
11,0.4616543078153147,0.7547638315768684,0.725204865096068,3.569942681685738,0.7414939859650389,0.703335155335345,-0.11083271728649233,0.16715042108311995
12,0.45418099848564064,0.7618799632996516,0.7327320053284121,7.556944308073624,0.7422533683614744,0.6928619088037741,-0.13293925033190848,0.16369456801022142
13,0.4470629303132073,0.7705360143732135,0.7431648705054769,3.841998224673064,0.747632041001643,0.7079027498936753,-0.13304281852425842,0.15757875216064143
14,0.4381038452272361,0.7826119953416258,0.7575986347422692,4.0779073031052295,0.744051282253758,0.7023908125864001,-0.08596689023872228,0.1575473063139573
15,0.4286025892206505,0.790508561782083,0.7665481394574623,4.026272556056147,0.7416203670086143,0.6952843788841389,-0.10584003583869599,0.15555903529113757
16,0.417939319448956,0.8044679092109615,0.7807519873154618,6.709010124206543,0.7544604616214539,0.7032580555891097,-0.0871724435189959,0.15684696504845164
17,0.4088029437145944,0.81359174989495,0.7922640536096566,4.911406133485877,0.7553283750589243,0.7111960178697688,-0.1124615104231498,0.16282737465177954
18,0.39851064752724213,0.8224642366314078,0.8034601118069107,6.422873890918234,0.7440016050318478,0.6968892772369817,-0.07857792312736087,0.15416271521831548
19,0.3886072846119013,0.8300933543081868,0.8127858384866768,5.1526162209718125,0.7425283743167571,0.6939945638683941,-0.13671085557163096,0.15124787118901073
20,0.38021842722838883,0.838233542195551,0.8234740145281231,7.936853471009628,0.7563174910913273,0.7021602174619853,-0.13302432350138457,0.16174332401982383
21,0.3713839672042825,0.8443282935791515,0.8317482425311273,5.685030864632648,0.7500003428833315,0.7053756279072728,-0.09642985383477556,0.1632426245811487
22,0.36270985849159587,0.8527210514942712,0.8419316918331643,5.146513296210247,0.7594577248460082,0.7131219085055786,-0.11756426520656407,0.14869458497474475
23,0.3542675897899994,0.858352627453258,0.8502054807839957,7.368058183918828,0.7603545703440497,0.7080234247083981,-0.10684620966239634,0.1620876487377202
24,0.3461270406421295,0.8635573535421126,0.8572571913895699,6.019273654274318,0.7475979165264328,0.700173615004816,-0.1106384278908558,0.14763402601032172
25,0.33834709774302896,0.8688186838996661,0.8643494848555261,6.488797706106435,0.7589426634249694,0.7099335517310222,-0.11156275115885267,0.15609246453579306
26,0.329454496923813,0.8749389310114125,0.8723995973913394,6.514477626137111,0.7547777062890474,0.7079959123902109,-0.10755064497074111,0.15522213986992472
27,0.32288752151074385,0.8783598145394039,0.877698685332598,6.772380663001019,0.753074551480261,0.7074924773783291,-0.11128624236770715,0.16592562840033087
28,0.31489969815238045,0.8839155830111499,0.8847407645547769,7.641853436179783,0.7554793709498421,0.7079847802021608,-0.11284149055529487,0.1566322979591046
29,0.30612818383227636,0.8880955831335929,0.8902376448983583,7.3818211762801464,0.7532734906250353,0.7046453539448452,-0.10660663598680001,0.15935206088835518
30,0.2987887576474982,0.8933726738678004,0.8972280758686373,6.476060359374337,0.7489178362683806,0.7037780389452379,-0.09221295337880095,0.16112614214968268
31,0.29355637973311255,0.8953369412005896,0.9008555093603345,6.47616494220236,0.7427908380167838,0.6972791514823087,-0.09193372195847578,0.15932340162568415
32,0.2860810975570463,0.9001493475183243,0.9071277199176149,7.6289671400318975,0.7491484404936634,0.698461297260476,-0.10134194760591643,0.16438866906876237
33,0.2801718702592419,0.9024902822196319,0.9099372251867609,9.676990467569102,0.7492907710026893,0.7056182411508295,-0.10373086453055037,0.16733760038501677
34,0.2715682141524924,0.9065701301430785,0.915505874451632,8.302895691083824,0.7536351497544428,0.7024510645957934,-0.10425266510927722,0.15899266280677504
35,0.2665881199688561,0.9092620015073202,0.9188704238631404,10.327814972918967,0.7524679945878274,0.7058743942979254,-0.10726776883612733,0.16471727916067147
36,0.26154804137130244,0.911753128415974,0.9226532528837291,8.293176464412523,0.7476407871555533,0.7076773332190529,-0.09050047885868688,0.14731104951897855
37,0.25333309863920267,0.9163242735077557,0.9282843230700996,9.375336108000383,0.743626009220307,0.69469896890345,-0.10693807456712644,0.16699796625998797
38,0.24799587817515356,0.918757316643925,0.9314793690166898,9.473934028459633,0.7470996404726127,0.7030350018522835,-0.0967940011006754,0.1624890798822286
39,0.2409580980485442,0.9216569243283579,0.9356043190278097,9.869817360587742,0.7516436705661472,0.7067212072475781,-0.09922928325844418,0.16925189826579345
40,0.23498268627514274,0.9244635397569653,0.938729000704494,8.432214674742326,0.7435311870491959,0.6968594912037941,-0.09312594618364126,0.16482263325240798
41,0.22892565065521306,0.9271310533944207,0.9419856075138245,9.832287995711617,0.7481007840266233,0.7001895467296158,-0.09076336299228732,0.1601135185228636
42,0.22471319863014977,0.9293064161051124,0.9444069374162448,9.432099466738494,0.7379236986372137,0.6937171932527467,-0.0877536546177606,0.16455640002888705
43,0.21978444559762708,0.9309690928131411,0.9469269624349997,11.398091482079547,0.7512039031536013,0.7118368299018127,-0.08853695838453311,0.1711981795575458
44,0.21347920916511515,0.9339155697952537,0.9500715477737878,11.38841674638831,0.7517931801822257,0.7034927443994728,-0.08565548741979785,0.16844892936709444
45,0.20890908759866056,0.9351266346187761,0.9520989838128037,13.344309392182723,0.7509952042245625,0.710142322601159,-0.0946973990579854,0.16865833376682948
46,0.20364186007761012,0.9376394283600841,0.9542735135238131,11.145455775053605,0.7441947228152008,0.6917719979782403,-0.08206801793967144,0.16196190248763664
47,0.2000934110354569,0.9387010659069132,0.9559329943984154,11.927969932556152,0.7527616348118776,0.7041571452946951,-0.08344570404737439,0.16624961333643629
48,0.19472863765086157,0.9405145958494714,0.9582529175557176,12.61728344792905,0.7519835796357622,0.7069666215771638,-0.09177458760619346,0.17192312389485498
49,0.1903369148067162,0.942143795382788,0.9600841163982595,14.666668021160623,0.7574447813117754,0.7074703324934813,-0.09175829579475699,0.17296551561114826
50,0.18675161729761436,0.9438324953190662,0.9621401006718215,15.373857829881752,0.7538726426606415,0.705639196107305,-0.09338595592700846,0.1678577831554643
51,0.18191501801296817,0.9455679532707313,0.9638585912886826,19.28079775105352,0.7574025739252854,0.712535524949943,-0.09431313845024024,0.17077452617213895
52,0.17727637720310083,0.9472619277567498,0.966055861812703,16.887670102326766,0.7563610530176528,0.7091605080103669,-0.08824724226310583,0.17224097619521705
53,0.17400910861074587,0.9477875174879183,0.9670909781154834,16.42471877388332,0.753374704900939,0.7077238865562006,-0.07657713650534363,0.17045914007408058
54,0.1697523846464642,0.9496490398784246,0.9687307976899862,20.04549548936927,0.758562344841179,0.7115501468029428,-0.08896115950018664,0.17113782485242635
55,0.1663514452297135,0.9506127065196759,0.9700405952334616,19.681762778240703,0.7539608569447845,0.7117471337036223,-0.09439690522391997,0.1709810579173553
56,0.16313224104838184,0.9517249028196283,0.971215312351815,19.162758246712063,0.7506138136972075,0.7118352844366681,-0.09132330604037506,0.17204762745165325
57,0.1601367953975322,0.9524689843542236,0.9719767452562804,21.141156155130137,0.7523576987448649,0.7130156886605798,-0.07838869350872169,0.17398752973430553
58,0.15632253775825608,0.9533615901601775,0.973660225240584,20.89630939649499,0.7560557714310904,0.7141972046600112,-0.08754870474949712,0.17354261243510516
59,0.15339560562607932,0.9542089850864987,0.9747349379132909,21.164566122967265,0.7593877036670823,0.712489399810265,-0.09377712264115869,0.174196964283593
60,0.15092722877944256,0.9555198357059626,0.9754692979330806,22.853698979253355,0.7573399123682715,0.7146559178702219,-0.0882635234270905,0.16989752900560673
61,0.14682398896432866,0.956256373717987,0.9766681193331357,23.10281007186226,0.7592675161119451,0.7149389773329722,-0.0807206234828234,0.16870000827988219
62,0.14536833771541294,0.9569569544372305,0.9772263000107829,24.943290544592816,0.7593462425889548,0.7160403591287792,-0.0853261032837092,0.17014180490360076
63,0.14204969522306474,0.9576565504582316,0.9783261599168326,26.11511636816937,0.758588089996021,0.716710774953914,-0.08495323799826411,0.17065799040101326
